,mean,50%,std,Num1s,Num2s,Num3s,Num4s,Num5s,Weighted_Weights
Distance to Municipal Drinking Water Wells,4.461538461538462,5.0,0.8770580193070292,0.0,0.0,3.0,1.0,9.0,6.4
Distance to Coastline,3.6923076923076925,4.0,1.3155870289605436,1.0,1.0,4.0,2.0,5.0,4.6
Drinking Water Well Capture Zones,3.3846153846153846,3.0,1.386750490563073,1.0,3.0,3.0,2.0,4.0,3.8
Distance to Streams or Wetlands,3.5384615384615383,3.0,1.1266014242982163,0.0,2.0,6.0,1.0,4.0,4.0
Distance to Private/Domestic Drinking Water Wells,3.3076923076923075,4.0,1.4935759876113537,3.0,0.0,3.0,4.0,3.0,4.0
Risk of Impact from Sea Level-Rise,3.4615384615384617,3.0,1.1982893790305562,1.0,1.0,5.0,3.0,3.0,4.0
Coral Cover and Recovery Potential,3.0,3.0,1.4142135623730951,2.0,3.0,4.0,1.0,3.0,3.0
Cesspool Density,3.8461538461538463,4.0,0.8006407690254357,0.0,1.0,2.0,8.0,2.0,4.8
Water Table Elevation,3.6923076923076925,4.0,0.9473309334313418,0.0,2.0,2.0,7.0,2.0,4.4
Soil/Geological Data,2.3076923076923075,2.0,1.1821319289469756,3.0,6.0,2.0,1.0,1.0,1.4
Resource Fish Biomass and Recovery Potential,2.6153846153846154,3.0,1.2608503439122305,3.0,3.0,4.0,2.0,1.0,2.2
Coastline Visitation,2.230769230769231,2.0,1.4232501627054275,6.0,2.0,2.0,2.0,1.0,1.8
Lifeguarded Swimming Beaches,2.3846153846153846,2.0,1.4455945454184551,5.0,3.0,1.0,3.0,1.0,2.0
Ocean Circulation and Residence Time Proxy,2.5384615384615383,2.0,1.2659242088545832,3.0,4.0,3.0,2.0,1.0,2.0
Average Annual Rainfall,2.0,2.0,0.9128709291752769,4.0,6.0,2.0,1.0,0.0,0.8
