,Uid,Coral_rank
0,-158.15014_21.44250,3
1,-158.15008_21.44229,3
2,-158.15032_21.44260,3
3,-158.15052_21.44248,3
4,-158.15052_21.44230,3
5,-158.15099_21.44218,3
6,-158.15117_21.44210,3
7,-158.15192_21.44198,3
8,-158.15221_21.44195,3
9,-158.15277_21.44221,3
10,-158.15294_21.44229,3
11,-158.15310_21.44222,3
12,-158.15326_21.44208,3
13,-158.15327_21.44234,3
14,-158.15346_21.44234,3
15,-158.15355_21.44217,3
16,-158.15348_21.44201,3
17,-158.15115_21.44198,3
18,-158.15094_21.44202,3
19,-158.15215_21.44184,3
20,-158.15186_21.44188,3
21,-158.15537_21.44078,3
22,-158.15480_21.43997,3
23,-158.15531_21.43992,3
24,-158.15568_21.44028,3
25,-158.15624_21.43977,3
26,-158.15610_21.43965,3
27,-158.15678_21.43956,3
28,-158.15670_21.43985,3
29,-158.15694_21.44012,3
30,-158.15670_21.44009,3
31,-158.15665_21.44032,3
32,-159.72365_21.97341,4
33,-159.72405_21.97366,4
34,-159.72424_21.97398,4
35,-159.72294_21.97592,4
36,-159.72179_21.97352,4
37,-159.72223_21.97407,4
38,-159.66391_21.96353,4
39,-159.69724_21.96193,4
40,-159.72198_21.97147,4
41,-159.67200_21.96375,4
42,-159.72064_21.96993,4
43,-159.72023_21.97163,4
44,-159.71762_21.97403,4
45,-159.72078_21.97293,4
46,-159.71814_21.97122,4
47,-159.72011_21.97304,4
48,-159.71886_21.97352,4
49,-159.71560_21.96853,4
50,-159.70858_21.96273,4
51,-159.70275_21.96432,4
52,-159.70350_21.96543,4
53,-159.70479_21.96613,4
54,-159.70975_21.96523,4
55,-159.70710_21.96424,4
56,-159.70961_21.96591,4
57,-159.71316_21.96750,4
58,-159.71290_21.97114,4
59,-159.70435_21.96105,4
60,-159.70381_21.96284,4
61,-159.70535_21.96318,4
62,-159.70661_21.96261,4
63,-159.70494_21.96378,4
64,-159.71137_21.96656,4
65,-159.66144_22.11946,2
66,-159.65420_22.12964,3
67,-159.45977_21.90457,4
68,-159.36000_21.96334,4
69,-159.36176_21.96581,4
70,-159.37219_22.05729,3
71,-159.36946_22.05793,3
72,-159.38467_22.05333,3
73,-159.38407_22.05409,3
74,-159.38316_22.05448,3
75,-159.49511_22.21023,4
76,-159.49588_22.20505,4
77,-159.58774_21.92027,4
78,-159.58748_21.92049,4
79,-159.58844_21.92623,4
80,-159.58862_21.92508,4
81,-159.39097_22.21195,4
82,-159.50072_22.20278,4
83,-159.36808_22.08363,4
84,-159.36346_22.07411,4
85,-159.34431_22.06002,3
86,-159.37350_22.05443,4
87,-159.37729_22.05450,4
88,-159.38927_22.06084,4
89,-159.65988_21.96372,4
90,-159.66848_21.95420,4
91,-159.58776_21.91989,4
92,-159.58579_21.91928,4
93,-159.58606_21.92096,4
94,-159.58791_21.92200,4
95,-159.58669_21.92353,4
96,-159.58617_21.92327,4
97,-159.58758_21.92496,4
98,-159.58958_21.92102,4
99,-159.59720_21.90418,4
100,-159.48529_21.92467,4
101,-159.46462_21.92893,4
102,-159.52488_21.90488,4
103,-159.36804_22.05262,4
104,-159.36719_22.05222,4
105,-159.37190_22.05489,4
106,-159.50775_21.93643,4
107,-159.50844_21.93401,4
108,-159.50880_21.92786,4
109,-159.50859_21.92861,4
110,-159.45177_21.87975,4
111,-159.45177_21.87992,4
112,-159.45177_21.88185,4
113,-159.38512_22.05583,3
114,-159.51845_21.92063,4
115,-159.51925_21.92001,4
116,-159.52047_21.91920,4
117,-159.52030_21.91874,4
118,-159.51776_21.91929,4
119,-159.51954_21.91858,4
120,-159.51164_21.93200,4
121,-159.51151_21.92590,4
122,-159.51273_21.93431,4
123,-159.51511_21.90538,4
124,-159.51499_21.91045,4
125,-159.50299_21.89127,4
126,-159.49600_21.91675,4
127,-159.36710_21.94991,4
128,-159.36468_21.94992,4
129,-159.36119_22.06893,3
130,-159.35793_22.07420,4
131,-159.37643_22.06850,3
132,-159.50424_22.20029,4
133,-159.52480_21.92646,4
134,-159.36098_22.09525,4
135,-159.40721_22.20951,4
136,-159.40493_22.20951,3
137,-159.59202_21.90737,4
138,-159.57640_21.91292,3
139,-159.57636_21.91240,3
140,-159.48383_21.92892,4
141,-159.48387_21.93322,4
142,-159.48746_21.92794,4
143,-159.46495_21.90098,4
144,-159.46569_21.89698,4
145,-159.36893_22.05846,3
146,-159.37505_22.06224,3
147,-159.37857_22.10330,4
148,-159.37211_22.10006,4
149,-159.35870_22.09503,4
150,-159.53453_21.92483,4
151,-159.53184_21.92483,4
152,-159.53294_21.92468,4
