,Uid,BlockGp_ID
0,-158.15014_21.44250,563
1,-158.15008_21.44229,563
2,-158.15032_21.44260,563
3,-158.15052_21.44248,563
4,-158.15052_21.44230,563
5,-158.15099_21.44218,563
6,-158.15117_21.44210,563
7,-158.15192_21.44198,563
8,-158.15221_21.44195,563
9,-158.15277_21.44221,563
10,-158.15294_21.44229,563
11,-158.15310_21.44222,563
12,-158.15326_21.44208,563
13,-158.15327_21.44234,563
14,-158.15346_21.44234,563
15,-158.15355_21.44217,563
16,-158.15348_21.44201,563
17,-158.15115_21.44198,563
18,-158.15094_21.44202,563
19,-158.15215_21.44184,563
20,-158.15186_21.44188,563
21,-158.15537_21.44078,563
22,-158.15480_21.43997,563
23,-158.15531_21.43992,563
24,-158.15568_21.44028,563
25,-158.15624_21.43977,563
26,-158.15610_21.43965,563
27,-158.15678_21.43956,563
28,-158.15670_21.43985,563
29,-158.15694_21.44012,563
30,-158.15670_21.44009,563
31,-158.15665_21.44032,563
32,-159.72365_21.97341,712
33,-159.72405_21.97366,712
34,-159.72424_21.97398,712
35,-159.72294_21.97592,712
36,-159.72179_21.97352,712
37,-159.72223_21.97407,712
38,-159.66391_21.96353,748
39,-159.69724_21.96193,710
40,-159.72198_21.97147,712
41,-159.67200_21.96375,709
42,-159.72064_21.96993,712
43,-159.72023_21.97163,712
44,-159.71762_21.97403,748
45,-159.72078_21.97293,712
46,-159.71814_21.97122,712
47,-159.72011_21.97304,712
48,-159.71886_21.97352,712
49,-159.71560_21.96853,711
50,-159.70858_21.96273,710
51,-159.70275_21.96432,748
52,-159.70350_21.96543,748
53,-159.70479_21.96613,748
54,-159.70975_21.96523,710
55,-159.70710_21.96424,711
56,-159.70961_21.96591,711
57,-159.71316_21.96750,711
58,-159.71290_21.97114,748
59,-159.70435_21.96105,710
60,-159.70381_21.96284,710
61,-159.70535_21.96318,710
62,-159.70661_21.96261,710
63,-159.70494_21.96378,710
64,-159.71137_21.96656,711
65,-159.66144_22.11946,748
66,-159.65420_22.12964,748
67,-159.45977_21.90457,745
68,-159.36000_21.96334,716
69,-159.36176_21.96581,716
70,-159.37219_22.05729,726
71,-159.36946_22.05793,726
72,-159.38467_22.05333,740
73,-159.38407_22.05409,740
74,-159.38316_22.05448,740
75,-159.49511_22.21023,734
76,-159.49588_22.20505,734
77,-159.58774_21.92027,708
78,-159.58748_21.92049,708
79,-159.58844_21.92623,697
80,-159.58862_21.92508,697
81,-159.39097_22.21195,736
82,-159.50072_22.20278,734
83,-159.36808_22.08363,726
84,-159.36346_22.07411,726
85,-159.34431_22.06002,724
86,-159.37350_22.05443,740
87,-159.37729_22.05450,740
88,-159.38927_22.06084,740
89,-159.65988_21.96372,713
