,Uid,BlockBk_ID
0,-158.15014_21.44250,15313
1,-158.15008_21.44229,15313
2,-158.15032_21.44260,15313
3,-158.15052_21.44248,15313
4,-158.15052_21.44230,15313
5,-158.15099_21.44218,15313
6,-158.15117_21.44210,15313
7,-158.15192_21.44198,15313
8,-158.15221_21.44195,15313
9,-158.15277_21.44221,15313
10,-158.15294_21.44229,15313
11,-158.15310_21.44222,15313
12,-158.15326_21.44208,15313
13,-158.15327_21.44234,15313
14,-158.15346_21.44234,15313
15,-158.15355_21.44217,15313
16,-158.15348_21.44201,15313
17,-158.15115_21.44198,15313
18,-158.15094_21.44202,15313
19,-158.15215_21.44184,15313
20,-158.15186_21.44188,15313
21,-158.15537_21.44078,15313
22,-158.15480_21.43997,15313
23,-158.15531_21.43992,15313
24,-158.15568_21.44028,15313
25,-158.15624_21.43977,15313
26,-158.15610_21.43965,15313
27,-158.15678_21.43956,15313
28,-158.15670_21.43985,15313
29,-158.15694_21.44012,15313
30,-158.15670_21.44009,15313
31,-158.15665_21.44032,15313
32,-159.72365_21.97341,19681
33,-159.72405_21.97366,18842
34,-159.72424_21.97398,18842
35,-159.72294_21.97592,18197
36,-159.72179_21.97352,19140
37,-159.72223_21.97407,19140
38,-159.66391_21.96353,19427
39,-159.69724_21.96193,18884
40,-159.72198_21.97147,18000
41,-159.67200_21.96375,18700
42,-159.72064_21.96993,19680
43,-159.72023_21.97163,18000
44,-159.71762_21.97403,19676
45,-159.72078_21.97293,17433
46,-159.71814_21.97122,18885
47,-159.72011_21.97304,19807
48,-159.71886_21.97352,19807
49,-159.71560_21.96853,18474
50,-159.70858_21.96273,19657
51,-159.70275_21.96432,18307
52,-159.70350_21.96543,18307
53,-159.70479_21.96613,18307
54,-159.70975_21.96523,18159
55,-159.70710_21.96424,17434
56,-159.70961_21.96591,19285
57,-159.71316_21.96750,19406
58,-159.71290_21.97114,18332
59,-159.70435_21.96105,18843
60,-159.70381_21.96284,18158
61,-159.70535_21.96318,18844
62,-159.70661_21.96261,18888
63,-159.70494_21.96378,17627
64,-159.71137_21.96656,17626
65,-159.66144_22.11946,18741
66,-159.65420_22.12964,19137
67,-159.45977_21.90457,17498
68,-159.36000_21.96334,17531
69,-159.36176_21.96581,17683
70,-159.37219_22.05729,19674
71,-159.36946_22.05793,18284
72,-159.38467_22.05333,19121
73,-159.38407_22.05409,19268
74,-159.38316_22.05448,19268
75,-159.49511_22.21023,17813
76,-159.49588_22.20505,19205
77,-159.58774_21.92027,18450
78,-159.58748_21.92049,18450
79,-159.58844_21.92623,17846
80,-159.58862_21.92508,17846
81,-159.39097_22.21195,18510
82,-159.50072_22.20278,17870
83,-159.36808_22.08363,18292
84,-159.36346_22.07411,17405
85,-159.34431_22.06002,17476
86,-159.37350_22.05443,19121
87,-159.37729_22.05450,18998
88,-159.38927_22.06084,19908
89,-159.65988_21.96372,18057
90,-159.66848_21.95420,18850
91,-159.58776_21.91989,18820
92,-159.58579_21.91928,19761
93,-159.58606_21.92096,18684
94,-159.58791_21.92200,17720
95,-159.58669_21.92353,18275
96,-159.58617_21.92327,18275
97,-159.58758_21.92496,19761
98,-159.58958_21.92102,19232
99,-159.59720_21.90418,17606
100,-159.48529_21.92467,19433
101,-159.46462_21.92893,17515
102,-159.52488_21.90488,18232
103,-159.36804_22.05262,19914
104,-159.36719_22.05222,19914
105,-159.37190_22.05489,17612
106,-159.50775_21.93643,17243
107,-159.50844_21.93401,19057
108,-159.50880_21.92786,17579
109,-159.50859_21.92861,19057
110,-159.45177_21.87975,19432
111,-159.45177_21.87992,19432
112,-159.45177_21.88185,19432
113,-159.38512_22.05583,19121
114,-159.51845_21.92063,19719
115,-159.51925_21.92001,19719
116,-159.52047_21.91920,18087
117,-159.52030_21.91874,18087
118,-159.51776_21.91929,19719
119,-159.51954_21.91858,19719
120,-159.51164_21.93200,19057
121,-159.51151_21.92590,19061
122,-159.51273_21.93431,19057
123,-159.51511_21.90538,17926
124,-159.51499_21.91045,17926
125,-159.50299_21.89127,17259
126,-159.49600_21.91675,19163
127,-159.36710_21.94991,18242
128,-159.36468_21.94992,19767
129,-159.36119_22.06893,18424
130,-159.35793_22.07420,18424
131,-159.37643_22.06850,18571
132,-159.50424_22.20029,17957
133,-159.52480_21.92646,17678
134,-159.36098_22.09525,18286
135,-159.40721_22.20951,17699
136,-159.40493_22.20951,17698
137,-159.59202_21.90737,17758
138,-159.57640_21.91292,17218
139,-159.57636_21.91240,17217
140,-159.48383_21.92892,19448
141,-159.48387_21.93322,19448
142,-159.48746_21.92794,19433
143,-159.46495_21.90098,19162
144,-159.46569_21.89698,19049
145,-159.36893_22.05846,19557
146,-159.37505_22.06224,19533
147,-159.37857_22.10330,18058
148,-159.37211_22.10006,18997
149,-159.35870_22.09503,18286
150,-159.53453_21.92483,19843
151,-159.53184_21.92483,19723
152,-159.53294_21.92468,17207
153,-159.53312_21.92452,17207
154,-159.53359_21.92372,17193
155,-159.50135_21.91961,17517
156,-159.37047_21.97158,18493
157,-159.33046_22.09841,19081
158,-159.32899_22.09849,19081
159,-159.33000_22.09719,19081
160,-159.32940_22.09696,19081
161,-159.49760_22.20521,19325
162,-159.36957_21.96902,17529
163,-159.37298_21.96909,19483
164,-159.37423_21.96848,19483
165,-159.37394_22.07696,19574
166,-159.53528_21.92314,17193
167,-159.53577_21.92187,17193
168,-159.51631_21.92111,19719
169,-159.52282_21.92123,19719
170,-159.52370_21.92231,17266
171,-159.52535_21.92233,17266
172,-159.51468_21.90881,17926
173,-159.52080_21.91824,18087
174,-159.52042_21.91991,19719
175,-159.51742_21.94186,19057
176,-159.52450_21.93290,17571
177,-159.52142_21.93109,17571
178,-159.51795_21.93557,17214
179,-159.51922_21.93679,17214
180,-159.51953_21.93076,17214
181,-159.52418_21.93075,17483
182,-159.52635_21.93485,17571
183,-159.52963_21.92778,18350
184,-159.52883_21.92869,17421
185,-159.52926_21.92623,19722
186,-159.52319_21.92624,17583
187,-159.52307_21.92603,17583
188,-159.50036_21.92168,19434
189,-159.49476_21.92207,18443
190,-159.49520_21.92704,18483
191,-159.49985_21.92335,18901
192,-159.50734_21.92960,18083
193,-159.50673_21.92727,19844
194,-159.50772_21.92676,19718
195,-159.50636_21.92970,17669
196,-159.49910_21.92012,19595
197,-159.47076_21.87967,18441
198,-159.49802_21.91770,19161
199,-159.50074_21.91520,19161
200,-159.46883_21.90542,17508
201,-159.47923_21.90767,17799
202,-159.48030_21.91804,19189
203,-159.48569_21.92118,18731
204,-159.48485_21.92063,18731
205,-159.39778_21.96219,18947
206,-159.33523_22.05256,17620
207,-159.33678_22.05396,18328
208,-159.33479_22.05301,19006
209,-159.33038_22.09477,18394
210,-159.33033_22.09495,18394
211,-159.32516_22.09537,19781
212,-159.48302_21.93034,18625
213,-159.46351_21.90626,18073
214,-159.46051_21.90991,17914
215,-159.46010_21.90947,17914
216,-159.46311_21.89798,18215
217,-159.46700_21.90195,19041
218,-159.45078_21.88083,19432
219,-159.46052_21.90751,18073
220,-159.45967_21.90550,19308
221,-159.45789_21.90466,19859
222,-159.45797_21.90250,19308
223,-159.37173_21.96630,17525
224,-159.37083_21.96743,17949
225,-159.36997_21.96570,19078
226,-159.33765_22.04776,18181
227,-159.33595_22.05378,17475
228,-159.33662_22.05546,19006
