,Uid,Swim_beach
212,-155.94635_19.59234,True
213,-155.94819_19.58206,True
214,-155.94624_19.58891,True
215,-155.95094_19.58298,True
216,-155.96526_19.58049,True
217,-155.94378_19.57475,True
218,-155.94438_19.57507,True
219,-155.94419_19.57592,True
220,-155.94393_19.57986,True
221,-155.94311_19.57888,True
222,-155.94346_19.57768,True
223,-155.94330_19.57680,True
224,-155.94282_19.57523,True
225,-155.93443_19.57739,True
226,-155.95015_19.57956,True
227,-155.94957_19.57867,True
228,-155.95393_19.59210,True
229,-155.94040_19.58036,True
230,-155.94060_19.58036,True
231,-155.93465_19.61941,True
232,-155.94193_19.61416,True
233,-155.94263_19.61831,True
234,-155.94258_19.61897,True
235,-155.94345_19.61416,True
236,-155.94338_19.61588,True
237,-155.94336_19.61679,True
238,-155.94331_19.61490,True
239,-155.93583_19.61354,True
240,-155.94870_19.60661,True
241,-155.94842_19.60814,True
242,-155.94884_19.60773,True
243,-155.94998_19.60761,True
244,-155.94963_19.60661,True
245,-155.94998_19.60803,True
246,-155.94981_19.60700,True
247,-155.93697_19.60278,True
248,-155.94462_19.59692,True
249,-155.94612_19.59815,True
250,-155.94599_19.59909,True
251,-155.94525_19.60008,True
252,-155.94514_19.60046,True
253,-155.94461_19.60088,True
254,-155.94950_19.59278,True
255,-155.95050_19.59497,True
256,-155.95104_19.59917,True
257,-155.95257_19.59978,True
258,-155.95118_19.59720,True
259,-155.95050_19.59629,True
260,-155.94915_19.60546,True
261,-155.95148_19.59265,True
262,-155.95298_19.59168,True
263,-155.95026_19.59906,True
264,-155.94960_19.60481,True
265,-155.95242_19.60108,True
266,-155.95286_19.59461,True
267,-155.95681_19.59127,True
268,-155.95688_19.59146,True
269,-155.95692_19.59166,True
270,-155.95692_19.59185,True
271,-155.95705_19.59202,True
272,-155.95706_19.59241,True
273,-155.95706_19.59260,True
274,-155.95666_19.59227,True
275,-155.95674_19.59206,True
276,-155.95674_19.59110,True
277,-155.95583_19.59595,True
278,-155.95554_19.59607,True
279,-155.95517_19.59624,True
280,-155.95537_19.59564,True
281,-155.95561_19.59556,True
282,-155.95581_19.59539,True
283,-155.95567_19.59496,True
284,-155.95555_19.59520,True
