,Uid,RFish_rank
0,-158.15014_21.44250,4
1,-158.15008_21.44229,4
2,-158.15032_21.44260,4
3,-158.15052_21.44248,4
4,-158.15052_21.44230,4
5,-158.15099_21.44218,4
6,-158.15117_21.44210,4
7,-158.15192_21.44198,4
8,-158.15221_21.44195,4
9,-158.15277_21.44221,4
10,-158.15294_21.44229,4
11,-158.15310_21.44222,4
12,-158.15326_21.44208,4
13,-158.15327_21.44234,4
14,-158.15346_21.44234,4
15,-158.15355_21.44217,4
16,-158.15348_21.44201,4
17,-158.15115_21.44198,4
18,-158.15094_21.44202,4
19,-158.15215_21.44184,4
20,-158.15186_21.44188,4
21,-158.15537_21.44078,4
22,-158.15480_21.43997,4
23,-158.15531_21.43992,4
24,-158.15568_21.44028,4
25,-158.15624_21.43977,4
26,-158.15610_21.43965,4
27,-158.15678_21.43956,4
28,-158.15670_21.43985,4
29,-158.15694_21.44012,4
30,-158.15670_21.44009,4
31,-158.15665_21.44032,4
32,-159.72365_21.97341,1
33,-159.72405_21.97366,1
34,-159.72424_21.97398,1
35,-159.72294_21.97592,1
36,-159.72179_21.97352,1
37,-159.72223_21.97407,1
38,-159.66391_21.96353,2
39,-159.69724_21.96193,1
40,-159.72198_21.97147,1
41,-159.67200_21.96375,2
42,-159.72064_21.96993,1
43,-159.72023_21.97163,1
44,-159.71762_21.97403,1
45,-159.72078_21.97293,1
46,-159.71814_21.97122,1
47,-159.72011_21.97304,1
48,-159.71886_21.97352,1
49,-159.71560_21.96853,1
50,-159.70858_21.96273,1
51,-159.70275_21.96432,1
52,-159.70350_21.96543,1
53,-159.70479_21.96613,1
54,-159.70975_21.96523,1
55,-159.70710_21.96424,1
56,-159.70961_21.96591,1
57,-159.71316_21.96750,1
58,-159.71290_21.97114,1
59,-159.70435_21.96105,1
60,-159.70381_21.96284,1
61,-159.70535_21.96318,1
62,-159.70661_21.96261,1
63,-159.70494_21.96378,1
64,-159.71137_21.96656,1
65,-159.66144_22.11946,2
66,-159.65420_22.12964,3
67,-159.45977_21.90457,1
68,-159.36000_21.96334,2
69,-159.36176_21.96581,2
70,-159.37219_22.05729,2
71,-159.36946_22.05793,2
72,-159.38467_22.05333,2
73,-159.38407_22.05409,2
74,-159.38316_22.05448,2
75,-159.49511_22.21023,1
76,-159.49588_22.20505,1
77,-159.58774_21.92027,2
78,-159.58748_21.92049,2
79,-159.58844_21.92623,3
80,-159.58862_21.92508,2
81,-159.39097_22.21195,3
82,-159.50072_22.20278,1
83,-159.36808_22.08363,2
84,-159.36346_22.07411,2
85,-159.34431_22.06002,2
86,-159.37350_22.05443,3
87,-159.37729_22.05450,3
88,-159.38927_22.06084,3
89,-159.65988_21.96372,2
90,-159.66848_21.95420,2
91,-159.58776_21.91989,2
92,-159.58579_21.91928,2
93,-159.58606_21.92096,2
94,-159.58791_21.92200,2
95,-159.58669_21.92353,2
96,-159.58617_21.92327,2
97,-159.58758_21.92496,2
98,-159.58958_21.92102,2
99,-159.59720_21.90418,2
100,-159.48529_21.92467,2
101,-159.46462_21.92893,2
102,-159.52488_21.90488,4
103,-159.36804_22.05262,3
104,-159.36719_22.05222,3
105,-159.37190_22.05489,3
106,-159.50775_21.93643,4
107,-159.50844_21.93401,4
108,-159.50880_21.92786,4
109,-159.50859_21.92861,4
110,-159.45177_21.87975,1
111,-159.45177_21.87992,1
112,-159.45177_21.88185,1
113,-159.38512_22.05583,2
114,-159.51845_21.92063,4
115,-159.51925_21.92001,4
116,-159.52047_21.91920,4
117,-159.52030_21.91874,4
118,-159.51776_21.91929,4
119,-159.51954_21.91858,4
120,-159.51164_21.93200,4
121,-159.51151_21.92590,4
122,-159.51273_21.93431,4
