,Uid,dist2_Streams_m
0,-158.15014_21.44250,353.1709795090278
1,-158.15008_21.44229,329.78214031086276
2,-158.15032_21.44260,367.3707202558015
3,-158.15052_21.44248,359.73106832765
4,-158.15052_21.44230,340.6994827755539
5,-158.15099_21.44218,344.3292828454741
6,-158.15117_21.44210,343.8261954104065
7,-158.15192_21.44198,372.7123906975249
8,-158.15221_21.44195,387.6728776241071
9,-158.15277_21.44221,368.6992485841709
10,-158.15294_21.44229,349.4158380626051
11,-158.15310_21.44222,334.89443676751864
12,-158.15326_21.44208,321.97507896231156
13,-158.15327_21.44234,314.3208225253193
14,-158.15346_21.44234,295.3296791174394
15,-158.15355_21.44217,291.1895503898347
16,-158.15348_21.44201,303.1628693506676
17,-158.15115_21.44198,330.941666967981
18,-158.15094_21.44202,326.19141827628124
19,-158.15215_21.44184,374.4835657245737
20,-158.15186_21.44188,359.8208850362808
21,-158.15537_21.44078,181.69793655836742
22,-158.15480_21.43997,217.05255643335954
23,-158.15531_21.43992,216.58396602955276
24,-158.15568_21.44028,189.58313770349892
25,-158.15624_21.43977,195.61172034315155
26,-158.15610_21.43965,198.20095403852542
27,-158.15678_21.43956,185.0811803198447
28,-158.15670_21.43985,164.09236574755366
29,-158.15694_21.44012,126.95285461928428
30,-158.15670_21.44009,140.4183940153847
31,-158.15665_21.44032,121.36620447004368
32,-159.72365_21.97341,1008.056771580657
33,-159.72405_21.97366,993.8136584164653
34,-159.72424_21.97398,967.2393040212985
35,-159.72294_21.97592,720.0407313393921
36,-159.72179_21.97352,959.4012940746561
37,-159.72223_21.97407,904.3841148844195
38,-159.66391_21.96353,414.3356088054537
39,-159.69724_21.96193,1172.558802399451
40,-159.72198_21.97147,1141.221162341267
41,-159.67200_21.96375,453.2650433907164
42,-159.72064_21.96993,1174.6636843110323
43,-159.72023_21.97163,1001.3730426949938
44,-159.71762_21.97403,624.7015737587936
45,-159.72078_21.97293,941.6309348746366
46,-159.71814_21.97122,913.8379664376445
47,-159.72011_21.97304,881.9330004536776
48,-159.71886_21.97352,751.5708120294909
49,-159.71560_21.96853,1110.3291471183854
50,-159.70858_21.96273,1710.5762636446689
51,-159.70275_21.96432,1158.788506941666
52,-159.70350_21.96543,1120.322770514162
53,-159.70479_21.96613,1169.2951848600626
54,-159.70975_21.96523,1465.0764221601917
55,-159.70710_21.96424,1486.0994273924869
56,-159.70961_21.96591,1388.5722121114084
57,-159.71316_21.96750,1210.7262237117127
58,-159.71290_21.97114,812.3606526014206
59,-159.70435_21.96105,1546.617428481186
60,-159.70381_21.96284,1354.8110712394857
61,-159.70535_21.96318,1431.940324289495
62,-159.70661_21.96261,1568.7877015951294
63,-159.70494_21.96378,1354.4325339505976
64,-159.71137_21.96656,1337.2120912149921
65,-159.66144_22.11946,80.95394787357579
66,-159.65420_22.12964,385.81198064757234
67,-159.45977_21.90457,390.3121629260346
68,-159.36000_21.96334,122.58912161589225
69,-159.36176_21.96581,189.03136027027656
70,-159.37219_22.05729,29.782800341656547
71,-159.36946_22.05793,133.98534150202485
72,-159.38467_22.05333,72.86319957778538
73,-159.38407_22.05409,72.93853893760779
74,-159.38316_22.05448,165.79853216616326
75,-159.49511_22.21023,250.362826208405
76,-159.49588_22.20505,126.24264917811352
77,-159.58774_21.92027,369.57898795987717
78,-159.58748_21.92049,339.6208270162682
79,-159.58844_21.92623,200.7250909699476
80,-159.58862_21.92508,258.3311303885717
81,-159.39097_22.21195,159.3325463393163
82,-159.50072_22.20278,426.4680570657808
83,-159.36808_22.08363,19.839446426118887
84,-159.36346_22.07411,77.27682651224481
85,-159.34431_22.06002,360.78256619477753
86,-159.37350_22.05443,216.0194846710904
87,-159.37729_22.05450,173.3027426862437
88,-159.38927_22.06084,146.1722754141111
89,-159.65988_21.96372,177.11251280716294
90,-159.66848_21.95420,353.6509720982327
91,-159.58776_21.91989,378.32298488442126
92,-159.58579_21.91928,181.6131394778372
93,-159.58606_21.92096,186.5918790100668
94,-159.58791_21.92200,366.52323168464653
95,-159.58669_21.92353,179.5229280393559
96,-159.58617_21.92327,170.8444323804629
97,-159.58758_21.92496,171.7133092847179
98,-159.58958_21.92102,458.5105552065046
99,-159.59720_21.90418,544.9802407374838
100,-159.48529_21.92467,291.815462977875
101,-159.46462_21.92893,210.66420664428037
102,-159.52488_21.90488,219.04054509892936
103,-159.36804_22.05262,159.21553677975996
104,-159.36719_22.05222,182.88021359048096
105,-159.37190_22.05489,218.66146077560242
106,-159.50775_21.93643,57.17489589470532
107,-159.50844_21.93401,71.4510486637558
