,Uid,Wave_pwr
0,-158.15014_21.44250,3.31834292412
1,-158.15008_21.44229,3.31834292412
2,-158.15032_21.44260,3.31834292412
3,-158.15052_21.44248,3.31834292412
4,-158.15052_21.44230,3.31834292412
5,-158.15099_21.44218,3.31834292412
6,-158.15117_21.44210,3.31834292412
7,-158.15192_21.44198,3.31834292412
8,-158.15221_21.44195,3.31834292412
9,-158.15277_21.44221,3.31834292412
10,-158.15294_21.44229,3.31834292412
11,-158.15310_21.44222,3.31834292412
12,-158.15326_21.44208,3.31834292412
13,-158.15327_21.44234,3.31834292412
14,-158.15346_21.44234,3.31834292412
15,-158.15355_21.44217,3.31834292412
16,-158.15348_21.44201,3.31834292412
17,-158.15115_21.44198,3.31834292412
18,-158.15094_21.44202,3.31834292412
19,-158.15215_21.44184,3.31834292412
20,-158.15186_21.44188,3.31834292412
21,-158.15537_21.44078,3.31834292412
22,-158.15480_21.43997,3.31834292412
23,-158.15531_21.43992,3.31834292412
24,-158.15568_21.44028,3.31834292412
25,-158.15624_21.43977,3.31834292412
26,-158.15610_21.43965,3.31834292412
27,-158.15678_21.43956,3.31834292412
28,-158.15670_21.43985,3.31834292412
29,-158.15694_21.44012,3.31834292412
30,-158.15670_21.44009,3.31834292412
31,-158.15665_21.44032,3.31834292412
32,-159.72365_21.97341,5.43838405609
33,-159.72405_21.97366,5.43838405609
34,-159.72424_21.97398,6.17665910721
35,-159.72294_21.97592,5.43838405609
36,-159.72179_21.97352,5.43838405609
37,-159.72223_21.97407,5.43838405609
38,-159.66391_21.96353,3.24612593651
39,-159.69724_21.96193,2.98795199394
40,-159.72198_21.97147,5.43838405609
41,-159.67200_21.96375,3.24612593651
42,-159.72064_21.96993,5.43838405609
43,-159.72023_21.97163,5.43838405609
44,-159.71762_21.97403,5.43838405609
45,-159.72078_21.97293,5.43838405609
46,-159.71814_21.97122,4.33727788925
47,-159.72011_21.97304,5.43838405609
48,-159.71886_21.97352,5.43838405609
49,-159.71560_21.96853,4.33727788925
50,-159.70858_21.96273,3.9145219326
51,-159.70275_21.96432,5.75505781174
52,-159.70350_21.96543,5.75505781174
53,-159.70479_21.96613,3.9145219326
54,-159.70975_21.96523,3.9145219326
55,-159.70710_21.96424,3.9145219326
56,-159.70961_21.96591,3.9145219326
57,-159.71316_21.96750,3.9145219326
58,-159.71290_21.97114,3.9145219326
59,-159.70435_21.96105,5.75505781174
60,-159.70381_21.96284,3.61414694786
61,-159.70535_21.96318,3.9145219326
62,-159.70661_21.96261,5.75505781174
63,-159.70494_21.96378,5.75505781174
64,-159.71137_21.96656,3.9145219326
65,-159.66144_22.11946,21.4504833221
66,-159.65420_22.12964,24.7256355286
67,-159.45977_21.90457,4.58416318893
68,-159.36000_21.96334,9.57316684723
69,-159.36176_21.96581,9.57316684723
70,-159.37219_22.05729,6.42365789413
71,-159.36946_22.05793,6.42365789413
72,-159.38467_22.05333,6.42365789413
73,-159.38407_22.05409,6.42365789413
74,-159.38316_22.05448,6.42365789413
75,-159.49511_22.21023,9.11382102966
76,-159.49588_22.20505,9.11382102966
77,-159.58774_21.92027,4.88545084
78,-159.58748_21.92049,4.88545084
