,Uid,dist2_DomWells_m
0,-158.15014_21.44250,2913.1709527642265
1,-158.15008_21.44229,2923.0914560820684
2,-158.15032_21.44260,2892.4830995085686
3,-158.15052_21.44248,2874.670962868566
4,-158.15052_21.44230,2878.721295941159
5,-158.15099_21.44218,2833.3308394026276
6,-158.15117_21.44210,2816.6591860985573
7,-158.15192_21.44198,2743.035003843353
8,-158.15221_21.44195,2715.0504460085212
9,-158.15277_21.44221,2652.3597141615364
10,-158.15294_21.44229,2633.184041437677
11,-158.15310_21.44222,2618.4543338303297
12,-158.15326_21.44208,2604.98353542698
13,-158.15327_21.44234,2598.0483123479985
14,-158.15346_21.44234,2578.9677498896644
15,-158.15355_21.44217,2574.2884469536466
16,-158.15348_21.44201,2585.2068738158946
17,-158.15115_21.44198,2821.7218331573768
18,-158.15094_21.44202,2842.0209555535325
19,-158.15215_21.44184,2723.2818127671135
20,-158.15186_21.44188,2752.143290446337
21,-158.15537_21.44078,2430.9195503389415
22,-158.15480_21.43997,2514.1694834317527
23,-158.15531_21.43992,2466.2174688772925
24,-158.15568_21.44028,2416.8427582437
25,-158.15624_21.43977,2381.5906135417417
26,-158.15610_21.43965,2399.8326971784486
27,-158.15678_21.43956,2336.909627395549
28,-158.15670_21.43985,2332.7735344394796
29,-158.15694_21.44012,2299.4405883122486
30,-158.15670_21.44009,2324.2204584585747
31,-158.15665_21.44032,2321.0049275272954
32,-159.72365_21.97341,2157.5556348812443
33,-159.72405_21.97366,2118.2479944120832
34,-159.72424_21.97398,2078.56512410466
35,-159.72294_21.97592,1922.3589193395321
36,-159.72179_21.97352,2213.4464676148123
37,-159.72223_21.97407,2139.8287476533774
38,-159.66391_21.96353,2706.6228588184945
39,-159.69724_21.96193,1397.7039713271795
40,-159.72198_21.97147,2416.802528431414
41,-159.67200_21.96375,1927.0553986639086
42,-159.72064_21.96993,2626.7072620717395
43,-159.72023_21.97163,2470.039309524149
44,-159.71762_21.97403,2366.895960779944
45,-159.72078_21.97293,2315.7455328230108
46,-159.71814_21.97122,2607.61580788726
47,-159.72011_21.97304,2334.5380590638974
48,-159.71886_21.97352,2348.0381770414183
49,-159.71560_21.96853,2807.6959618261208
50,-159.70858_21.96273,2286.9959061909303
51,-159.70275_21.96432,1670.8071790540976
52,-159.70350_21.96543,1684.6819003116445
53,-159.70479_21.96613,1779.2256381422787
54,-159.70975_21.96523,2295.3850659420027
55,-159.70710_21.96424,2078.039019537694
56,-159.70961_21.96591,2259.289480104029
57,-159.71316_21.96750,2575.6867269204386
58,-159.71290_21.97114,2508.0239700519296
59,-159.70435_21.96105,2004.6853755202574
60,-159.70381_21.96284,1848.1428537141107
61,-159.70535_21.96318,1967.1212645031437
62,-159.70661_21.96261,2111.6054191808166
63,-159.70494_21.96378,1898.103070158688
