,Uid,OSDS_Density_perAcre
0,-159.49511_22.21023,0.21806290745700002
1,-159.49588_22.20505,0.901987493038
2,-159.39097_22.21195,0.07929560542110001
3,-159.50072_22.20278,0.7533082365989999
4,-159.50424_22.20029,0.802868008614
5,-159.40721_22.20951,3.0033209323900003
6,-159.40493_22.20951,2.9834971427899997
7,-159.49760_22.20521,1.00110697746
8,-159.31679_22.15800,0.327094376087
9,-159.34168_22.18827,0.178415104747
10,-159.33321_22.19253,0.257710725069
11,-159.37847_22.19782,0.247798755765
12,-159.35821_22.19956,0.128855362535
13,-159.39419_22.21981,0.04955975338819999
14,-159.40835_22.20940,2.60684299469
15,-159.41017_22.20639,1.5264403819999999
16,-159.40911_22.21017,2.14098119736
17,-159.40489_22.21235,1.99230206013
18,-159.40516_22.21096,2.32930827141
19,-159.40911_22.20396,0.931723356247
20,-159.40404_22.21011,2.19054102898
21,-159.40400_22.20969,2.2995724678
22,-159.40537_22.20894,2.9636731147799997
23,-159.40469_22.20777,2.1211574077599997
24,-159.40855_22.20770,2.55728316307
25,-159.40888_22.20724,2.2698366642
26,-159.40599_22.20675,2.2797486782100003
27,-159.50530_22.20095,0.773132145405
28,-159.57488_22.22320,0.04955975338819999
29,-159.40798_22.21438,0.535245299339
30,-159.40833_22.21361,0.911899447441
31,-159.43192_22.21479,0.287446558475
32,-159.45543_22.22546,0.09911950677629999
33,-159.49614_22.20425,0.99119502306
34,-159.49543_22.20661,0.6938365101809999
35,-159.55012_22.20986,0.23788681626299998
36,-159.54394_22.21218,0.346918255091
37,-159.54703_22.22181,0.842515766621
38,-159.54674_22.22329,0.703748464584
39,-159.55117_22.22221,0.72357237339
40,-159.55194_22.22324,0.634364843369
41,-159.54672_22.22050,0.812779963017
42,-159.54536_22.21996,0.713660418987
43,-159.50055_22.20288,0.7533082365989999
44,-159.50534_22.20035,0.733484327793
45,-159.40753_22.20912,2.80508208275
46,-159.40325_22.21157,1.2389937639200002
47,-159.49930_22.20367,0.792956054211
48,-159.49905_22.20387,0.931723356247
49,-159.49573_22.20278,0.60462898016
50,-159.49987_22.20216,0.703748464584
51,-159.49735_22.20595,0.961459219456
52,-159.55512_22.22285,0.535245299339
53,-159.31253_22.15811,0.09911950677629999
54,-159.30959_22.16612,0.0892075523734
55,-159.33326_22.19321,0.21806290745700002
56,-159.38321_22.20030,0.14867925643899998
57,-159.41464_22.21901,0.07929560542110001
58,-159.41088_22.20764,1.5363522768
59,-159.41040_22.20860,1.80397498608
60,-159.40485_22.21189,1.9030945301100002
61,-159.40566_22.21082,2.80508208275
62,-159.40739_22.21158,2.01212596893
63,-159.41113_22.20673,1.1200504303
64,-159.42428_22.21842,0.277534604073
65,-159.40621_22.20377,0.852427721024
66,-159.40119_22.21482,0.11894340813200001
67,-159.40395_22.21025,2.19054102898
68,-159.40457_22.20846,2.41851592064
69,-159.40300_22.20200,0.416301906109
70,-159.40184_22.20194,0.356830209494
71,-159.40864_22.20752,2.36895608902
72,-159.40658_22.20820,2.9934091568
73,-159.40638_22.20813,2.9934091568
74,-159.40783_22.20653,2.37886810303
75,-159.50532_22.20119,0.773132145405
76,-159.55924_22.22302,0.426213860512
77,-159.44435_22.22286,0.09911950677629999
78,-159.45393_22.22530,0.09911950677629999
79,-159.46329_22.22242,0.09911950677629999
80,-159.46735_22.18554,0.04955975338819999
81,-159.49562_22.20383,0.8821635842319999
82,-159.54660_22.21043,0.29735851287799997
83,-159.54603_22.22298,0.802868008614
84,-159.54785_22.22299,0.931723356247
85,-159.54750_22.22016,0.7533082365989999
86,-159.54484_22.22035,0.67401266098
87,-159.49686_22.20569,0.961459219456
88,-159.50538_22.19937,0.644276797771
89,-159.50570_22.20035,0.654188752174
90,-159.40711_22.21003,2.9636731147799997
91,-159.40445_22.21082,2.2698366642
92,-159.40485_22.20995,2.41851592064
93,-159.40512_22.20708,2.20045304298
94,-159.40575_22.20744,2.56719517708
95,-159.50095_22.20265,0.7533082365989999
96,-159.49886_22.20401,0.931723356247
97,-159.49766_22.20295,0.852427721024
98,-159.55665_22.22318,0.48568558692900005
99,-159.30558_22.15849,0.22797486186000002
100,-159.31861_22.16671,0.09911950677629999
101,-159.33593_22.20096,0.0198239013553
102,-159.33353_22.19219,0.257710725069
103,-159.33154_22.19248,0.23788681626299998
104,-159.37895_22.19548,0.158591210842
105,-159.38772_22.19579,0.128855362535
106,-159.40906_22.20762,2.36895608902
107,-159.40920_22.20886,2.40860390663
108,-159.40958_22.20918,2.07159757614
109,-159.40966_22.21022,1.8931825161000002
110,-159.41016_22.20959,1.73459136486
111,-159.40531_22.21177,2.16080522537
112,-159.42449_22.21937,0.21806290745700002
113,-159.42425_22.21795,0.257710725069
114,-159.40595_22.20383,0.812779963017
115,-159.40475_22.20362,0.8821635842319999
116,-159.40399_22.20783,1.84362280369
117,-159.40291_22.20710,1.09031450748
118,-159.40764_22.20855,2.88437747955
119,-159.40592_22.20753,2.56719517708
120,-159.40735_22.20688,2.6464908122999997
121,-159.40336_22.20666,1.1299623251000002
122,-159.50441_22.20135,0.783044099808
123,-159.50180_22.20157,0.812779963017
124,-159.56209_22.22140,0.19823901355300003
125,-159.40830_22.21392,0.683924555779
126,-159.42912_22.21362,0.23788681626299998
127,-159.44238_22.22300,0.158591210842
128,-159.49657_22.21204,0.178415104747
129,-159.49704_22.20637,0.832603812218
130,-159.49647_22.20726,0.703748464584
131,-159.54718_22.20804,0.14867925643899998
132,-159.54464_22.21093,0.26762264967
133,-159.54618_22.22173,0.842515766621
134,-159.54659_22.22265,0.8226919174189999
135,-159.54564_22.22178,0.802868008614
136,-159.54792_22.22141,0.9218114018440001
137,-159.55696_22.22414,0.48568558692900005
138,-159.54526_22.22062,0.72357237339
139,-159.55138_22.22228,0.72357237339
140,-159.54874_22.22108,0.951547265053
141,-159.54629_22.22111,0.812779963017
142,-159.43026_22.21329,0.247798755765
143,-159.45498_22.22557,0.09911950677629999
144,-159.49630_22.20853,0.5550692081449999
145,-159.55499_22.20420,0.168503165245
146,-159.54061_22.21319,0.23788681626299998
147,-159.54912_22.21020,0.247798755765
148,-159.40743_22.21097,2.37886810303
149,-159.40264_22.21078,1.34802532196
150,-159.40470_22.20983,2.41851592064
