,Uid,In_WellCZ_B
388,-156.28429_20.91278,True
389,-156.28429_20.91248,True
390,-156.28425_20.91222,True
391,-156.28420_20.91195,True
392,-156.28004_20.90101,True
393,-156.27953_20.90065,True
394,-156.27929_20.90017,True
395,-156.27915_20.89959,True
396,-156.27903_20.89891,True
397,-156.27904_20.89757,True
398,-156.27915_20.89702,True
399,-156.28066_20.89936,True
400,-156.28090_20.89984,True
401,-156.28117_20.90047,True
402,-156.32076_20.88338,True
403,-156.31867_20.87946,True
404,-156.31858_20.88029,True
405,-156.31727_20.88152,True
406,-156.31315_20.88067,True
407,-156.31670_20.87988,True
408,-156.31636_20.87933,True
409,-156.28345_20.92264,True
410,-156.28529_20.92182,True
411,-156.28534_20.91461,True
412,-156.28338_20.91214,True
413,-156.28406_20.91444,True
414,-156.28076_20.90467,True
415,-156.28212_20.90454,True
416,-156.28217_20.90584,True
417,-156.51697_20.94227,True
418,-156.51830_20.94207,True
419,-156.51936_20.94176,True
420,-156.51771_20.94245,True
421,-156.51863_20.94230,True
422,-156.51702_20.87568,True
423,-156.51711_20.87594,True
424,-156.51719_20.87620,True
425,-156.51722_20.87649,True
426,-156.51714_20.87705,True
427,-156.51785_20.94303,True
428,-156.52074_20.94131,True
429,-156.51924_20.94055,True
430,-156.51954_20.94166,True
431,-156.51982_20.94171,True
432,-156.52750_20.88271,True
433,-156.52700_20.88276,True
434,-156.52653_20.88270,True
435,-156.51327_20.86083,True
436,-156.51214_20.85991,True
437,-156.51609_20.94495,True
438,-156.52026_20.94310,True
439,-156.51783_20.94402,True
440,-156.51805_20.94454,True
441,-156.51788_20.94514,True
442,-156.51709_20.94585,True
443,-156.51643_20.94439,True
444,-156.51903_20.94351,True
445,-156.52188_20.94151,True
446,-156.52317_20.94171,True
447,-156.51693_20.94540,True
448,-156.51682_20.94493,True
449,-156.52195_20.94216,True
450,-156.51513_20.87172,True
451,-156.51482_20.87140,True
452,-156.51458_20.87113,True
453,-156.51412_20.87000,True
454,-156.51397_20.86944,True
455,-156.51460_20.86945,True
456,-156.51468_20.86973,True
457,-156.51476_20.87001,True
458,-156.51484_20.87030,True
459,-156.51492_20.87058,True
460,-156.51506_20.87082,True
461,-156.51514_20.87112,True
462,-156.51524_20.87040,True
463,-156.51520_20.87005,True
464,-156.51508_20.86945,True
465,-156.51557_20.87132,True
466,-156.53362_20.88367,True
467,-156.53336_20.88373,True
468,-156.53312_20.88382,True
469,-156.51120_20.85650,True
470,-156.51165_20.85674,True
471,-156.51225_20.85700,True
472,-156.51810_20.87364,True
473,-156.51567_20.87474,True
474,-156.51653_20.87299,True
475,-156.51649_20.87338,True
476,-156.51651_20.87393,True
477,-156.51644_20.87417,True
478,-156.51646_20.87446,True
479,-156.51651_20.87472,True
480,-156.51709_20.87464,True
481,-156.51700_20.87439,True
482,-156.51699_20.87415,True
483,-156.51702_20.87391,True
484,-156.51707_20.87367,True
485,-156.51711_20.87338,True
