,Uid,UserDays
212,-159.48302_21.93034,14
213,-159.46351_21.90626,81
214,-159.46051_21.90991,81
215,-159.46010_21.90947,84
216,-159.46311_21.89798,81
217,-159.46700_21.90195,110
218,-159.45078_21.88083,624
219,-159.46052_21.90751,94
220,-159.45967_21.90550,94
221,-159.45789_21.90466,94
222,-159.45797_21.90250,94
223,-159.37173_21.96630,59
224,-159.37083_21.96743,277
225,-159.36997_21.96570,59
226,-159.33765_22.04776,68
227,-159.33595_22.05378,76
228,-159.33662_22.05546,187
229,-159.33779_22.05717,187
230,-159.33871_22.05588,89
231,-159.33703_22.05725,187
232,-159.33925_22.05708,187
233,-159.34019_22.05863,187
234,-159.34410_22.05816,187
235,-159.34401_22.05846,187
236,-159.34498_22.05860,187
237,-159.34451_22.05947,187
238,-159.34200_22.05649,76
239,-159.34218_22.05805,187
240,-159.34179_22.05778,187
241,-159.34211_22.05439,68
242,-159.34261_22.05332,68
243,-159.34472_22.05401,68
244,-159.34554_22.05395,68
245,-159.34631_22.05431,68
246,-159.34559_22.05489,68
247,-159.37237_22.05323,123
248,-159.37658_22.05647,68
249,-159.37595_22.05653,68
250,-159.36311_22.04779,86
251,-159.36611_22.04912,136
252,-159.38219_22.05554,68
253,-159.38786_22.05697,68
254,-159.37812_22.06226,68
255,-159.36393_22.08856,90
256,-159.36191_22.06867,97
257,-159.37382_22.06840,187
258,-159.36248_22.07141,120
259,-159.36313_22.07064,120
260,-159.36211_22.06667,199
261,-159.37278_22.09805,28
262,-159.37169_22.09644,90
263,-159.31743_22.06838,42
264,-159.31870_22.06885,54
265,-159.31914_22.06883,54
266,-159.32037_22.07372,90
267,-159.32021_22.08645,70
268,-159.32028_22.08603,70
269,-159.32403_22.08845,70
270,-159.36064_22.09479,90
271,-159.33077_22.09798,23
272,-159.33934_22.09951,23
273,-159.32996_22.09665,59
274,-159.32820_22.09546,65
275,-159.33044_22.09558,65
276,-159.31760_22.08845,28
277,-159.31499_22.08728,28
278,-159.31550_22.09116,65
279,-159.31540_22.08846,38
280,-159.31931_22.08548,70
281,-159.31787_22.08639,28
282,-159.32072_22.08944,28
283,-159.33379_22.10044,42
284,-159.33618_22.10108,42
285,-159.33579_22.10099,42
286,-159.32215_22.09409,65
287,-159.32212_22.09229,65
288,-159.32226_22.09163,38
289,-159.32009_22.09172,38
290,-159.31976_22.09249,65
291,-159.31950_22.09297,65
292,-159.31944_22.09319,65
293,-159.33510_22.09714,65
294,-159.33200_22.09586,38
295,-159.33314_22.09444,28
296,-159.33351_22.09532,38
297,-159.33458_22.09644,65
298,-159.33320_22.09940,42
299,-159.33305_22.09878,42
300,-159.32700_22.09494,65
301,-159.32618_22.09388,65
302,-159.32634_22.09424,65
303,-159.32558_22.09240,38
304,-159.30698_22.10520,18
305,-159.30537_22.10228,53
306,-159.30841_22.14604,20
307,-159.30468_22.14584,29
308,-159.30687_22.15147,13
309,-159.30904_22.13688,0
310,-159.30390_22.13658,0
311,-159.30256_22.13767,0
312,-159.30237_22.13805,0
313,-159.30476_22.13791,0
314,-159.30315_22.14084,26
315,-159.30141_22.14017,0
316,-159.30121_22.14034,0
317,-159.31679_22.15800,23
318,-159.34168_22.18827,39
319,-159.33321_22.19253,6
320,-159.37847_22.19782,4
321,-159.35821_22.19956,1
322,-159.39419_22.21981,4
323,-159.40835_22.20940,19
324,-159.41017_22.20639,25
325,-159.40911_22.21017,19
326,-159.40489_22.21235,2
327,-159.40516_22.21096,2
328,-159.40911_22.20396,19
329,-159.40404_22.21011,2
330,-159.40400_22.20969,2
331,-159.40537_22.20894,6
332,-159.40469_22.20777,2
333,-159.40855_22.20770,19
334,-159.40888_22.20724,19
335,-159.40599_22.20675,6
336,-159.50530_22.20095,81
337,-159.57488_22.22320,11
338,-159.40798_22.21438,19
339,-159.40833_22.21361,19
340,-159.43192_22.21479,5
341,-159.45543_22.22546,32
342,-159.49614_22.20425,161
343,-159.49543_22.20661,161
344,-159.55012_22.20986,57
345,-159.54394_22.21218,57
346,-159.54703_22.22181,80
347,-159.54674_22.22329,80
348,-159.55117_22.22221,56
349,-159.55194_22.22324,56
350,-159.54672_22.22050,80
351,-159.54536_22.21996,93
352,-159.52538_21.90654,0
353,-159.72647_21.97268,22
354,-159.72606_21.97265,22
355,-159.71604_21.96934,12
356,-159.57795_21.90986,54
357,-159.72371_21.97278,17
358,-159.72529_21.97335,17
359,-159.72505_21.97368,17
360,-159.72349_21.97565,17
361,-159.72235_21.97321,11
362,-159.72141_21.97430,17
363,-159.72566_21.97264,22
364,-159.72500_21.97196,17
365,-159.69396_21.96167,9
366,-159.69751_21.96055,8
367,-159.67280_21.96372,34
368,-159.72208_21.97059,11
369,-159.72210_21.97241,11
370,-159.72135_21.97013,11
371,-159.72184_21.96995,11
372,-159.71902_21.96966,9
373,-159.72099_21.97306,11
374,-159.71703_21.97278,9
375,-159.71388_21.96736,16
376,-159.70893_21.96316,6
377,-159.70931_21.96403,6
378,-159.69832_21.96204,8
379,-159.70313_21.96470,9
380,-159.70486_21.96507,8
381,-159.70774_21.96392,8
382,-159.70778_21.96653,6
383,-159.70695_21.96504,8
384,-159.71021_21.96630,15
385,-159.70468_21.96153,9
386,-159.70377_21.96132,9
387,-159.70589_21.96353,8
388,-159.70763_21.96228,8
389,-159.58786_21.92058,8
390,-159.50055_22.20288,183
391,-159.35650_22.08605,90
392,-159.52136_21.92770,0
393,-159.34440_22.06119,199
394,-159.34710_22.06137,199
395,-159.34453_22.06097,199
396,-159.34135_22.05896,187
397,-159.34183_22.05893,187
398,-159.37355_22.05420,68
399,-159.37423_22.05259,123
400,-159.37605_22.05446,123
401,-159.37727_22.05570,68
402,-159.38843_22.06114,68
403,-159.38679_22.06107,68
404,-159.39185_22.06289,68
405,-159.39080_22.06277,68
406,-159.66725_21.95768,125
407,-159.65750_21.96444,49
408,-159.56455_21.97204,46
409,-159.58616_21.91903,7
410,-159.58602_21.91855,7
411,-159.58670_21.92002,8
412,-159.58610_21.92079,8
413,-159.58640_21.92221,8
414,-159.58692_21.92293,8
415,-159.58811_21.92389,5
416,-159.58739_21.92371,7
417,-159.58721_21.92581,5
418,-159.58723_21.92564,5
419,-159.48584_21.92643,14
