,Uid,In_2017_CP_zone
0,-159.45977_21.90457,True
1,-159.37219_22.05729,True
2,-159.36946_22.05793,True
3,-159.38467_22.05333,True
4,-159.38407_22.05409,True
5,-159.38316_22.05448,True
6,-159.49511_22.21023,True
7,-159.49588_22.20505,True
8,-159.50072_22.20278,True
9,-159.36808_22.08363,True
10,-159.36346_22.07411,True
11,-159.34431_22.06002,True
12,-159.37350_22.05443,True
13,-159.37729_22.05450,True
14,-159.38927_22.06084,True
15,-159.48529_21.92467,True
16,-159.52488_21.90488,True
17,-159.36804_22.05262,True
18,-159.36719_22.05222,True
19,-159.37190_22.05489,True
20,-159.50775_21.93643,True
21,-159.50844_21.93401,True
22,-159.50880_21.92786,True
23,-159.50859_21.92861,True
24,-159.45177_21.87975,True
25,-159.45177_21.87992,True
26,-159.45177_21.88185,True
27,-159.38512_22.05583,True
28,-159.51845_21.92063,True
29,-159.51925_21.92001,True
30,-159.52047_21.91920,True
31,-159.52030_21.91874,True
32,-159.51776_21.91929,True
33,-159.51954_21.91858,True
34,-159.51164_21.93200,True
35,-159.51151_21.92590,True
36,-159.51273_21.93431,True
37,-159.51511_21.90538,True
38,-159.51499_21.91045,True
39,-159.50299_21.89127,True
40,-159.49600_21.91675,True
41,-159.36119_22.06893,True
42,-159.35793_22.07420,True
43,-159.37643_22.06850,True
44,-159.50424_22.20029,True
45,-159.52480_21.92646,True
46,-159.36098_22.09525,True
47,-159.48383_21.92892,True
48,-159.48387_21.93322,True
49,-159.48746_21.92794,True
50,-159.46495_21.90098,True
51,-159.46569_21.89698,True
52,-159.36893_22.05846,True
53,-159.37505_22.06224,True
54,-159.37857_22.10330,True
55,-159.37211_22.10006,True
56,-159.35870_22.09503,True
57,-159.53453_21.92483,True
58,-159.53184_21.92483,True
59,-159.53294_21.92468,True
60,-159.53312_21.92452,True
61,-159.53359_21.92372,True
62,-159.50135_21.91961,True
63,-159.33046_22.09841,True
64,-159.32899_22.09849,True
65,-159.33000_22.09719,True
66,-159.32940_22.09696,True
67,-159.49760_22.20521,True
68,-159.37394_22.07696,True
69,-159.53528_21.92314,True
70,-159.53577_21.92187,True
71,-159.51631_21.92111,True
72,-159.52282_21.92123,True
73,-159.52370_21.92231,True
74,-159.52535_21.92233,True
75,-159.51468_21.90881,True
76,-159.52080_21.91824,True
77,-159.52042_21.91991,True
78,-159.51742_21.94186,True
79,-159.52450_21.93290,True
80,-159.52142_21.93109,True
81,-159.51795_21.93557,True
82,-159.51922_21.93679,True
83,-159.51953_21.93076,True
84,-159.52418_21.93075,True
85,-159.52635_21.93485,True
86,-159.52963_21.92778,True
87,-159.52883_21.92869,True
88,-159.52926_21.92623,True
89,-159.52319_21.92624,True
90,-159.52307_21.92603,True
91,-159.50036_21.92168,True
92,-159.49476_21.92207,True
93,-159.49520_21.92704,True
94,-159.49985_21.92335,True
95,-159.50734_21.92960,True
96,-159.50673_21.92727,True
97,-159.50772_21.92676,True
98,-159.50636_21.92970,True
99,-159.49910_21.92012,True
100,-159.47076_21.87967,True
101,-159.49802_21.91770,True
102,-159.50074_21.91520,True
103,-159.46883_21.90542,True
104,-159.47923_21.90767,True
105,-159.48030_21.91804,True
106,-159.48569_21.92118,True
107,-159.48485_21.92063,True
108,-159.33523_22.05256,True
109,-159.33678_22.05396,True
110,-159.33479_22.05301,True
111,-159.32516_22.09537,True
112,-159.48302_21.93034,True
113,-159.46351_21.90626,True
114,-159.46051_21.90991,True
115,-159.46010_21.90947,True
116,-159.46311_21.89798,True
117,-159.46700_21.90195,True
118,-159.45078_21.88083,True
119,-159.46052_21.90751,True
120,-159.45967_21.90550,True
121,-159.45789_21.90466,True
122,-159.45797_21.90250,True
123,-159.33765_22.04776,True
124,-159.33595_22.05378,True
125,-159.33662_22.05546,True
126,-159.33779_22.05717,True
127,-159.33871_22.05588,True
128,-159.33703_22.05725,True
129,-159.33925_22.05708,True
130,-159.34019_22.05863,True
131,-159.34410_22.05816,True
132,-159.34401_22.05846,True
133,-159.34498_22.05860,True
134,-159.34451_22.05947,True
135,-159.34200_22.05649,True
136,-159.34218_22.05805,True
137,-159.34179_22.05778,True
138,-159.34211_22.05439,True
139,-159.34261_22.05332,True
140,-159.34472_22.05401,True
141,-159.34554_22.05395,True
142,-159.34631_22.05431,True
143,-159.34559_22.05489,True
144,-159.37237_22.05323,True
145,-159.37658_22.05647,True
146,-159.37595_22.05653,True
147,-159.36311_22.04779,True
148,-159.36611_22.04912,True
149,-159.38219_22.05554,True
150,-159.38786_22.05697,True
151,-159.37812_22.06226,True
152,-159.36393_22.08856,True
153,-159.36191_22.06867,True
154,-159.37382_22.06840,True
155,-159.36248_22.07141,True
156,-159.36313_22.07064,True
157,-159.36211_22.06667,True
158,-159.37278_22.09805,True
159,-159.37169_22.09644,True
160,-159.31743_22.06838,True
161,-159.31870_22.06885,True
162,-159.31914_22.06883,True
163,-159.36064_22.09479,True
164,-159.33077_22.09798,True
165,-159.32996_22.09665,True
166,-159.33379_22.10044,True
167,-159.33618_22.10108,True
168,-159.33579_22.10099,True
169,-159.31944_22.09319,True
170,-159.33320_22.09940,True
171,-159.33305_22.09878,True
172,-159.30698_22.10520,True
173,-159.30537_22.10228,True
174,-159.50530_22.20095,True
175,-159.49614_22.20425,True
176,-159.49543_22.20661,True
177,-159.52538_21.90654,True
