,Uid,Track_ID
0,-158.15014_21.44250,269
1,-158.15008_21.44229,269
2,-158.15032_21.44260,269
3,-158.15052_21.44248,269
4,-158.15052_21.44230,269
5,-158.15099_21.44218,269
6,-158.15117_21.44210,269
7,-158.15192_21.44198,269
8,-158.15221_21.44195,269
9,-158.15277_21.44221,269
10,-158.15294_21.44229,269
11,-158.15310_21.44222,269
12,-158.15326_21.44208,269
13,-158.15327_21.44234,269
14,-158.15346_21.44234,269
15,-158.15355_21.44217,269
16,-158.15348_21.44201,269
17,-158.15115_21.44198,269
18,-158.15094_21.44202,269
19,-158.15215_21.44184,269
20,-158.15186_21.44188,269
21,-158.15537_21.44078,269
22,-158.15480_21.43997,269
23,-158.15531_21.43992,269
24,-158.15568_21.44028,269
25,-158.15624_21.43977,269
26,-158.15610_21.43965,269
27,-158.15678_21.43956,269
28,-158.15670_21.43985,269
29,-158.15694_21.44012,269
30,-158.15670_21.44009,269
31,-158.15665_21.44032,269
32,-159.72365_21.97341,286
33,-159.72405_21.97366,286
34,-159.72424_21.97398,286
35,-159.72294_21.97592,286
36,-159.72179_21.97352,286
37,-159.72223_21.97407,286
38,-159.66391_21.96353,286
39,-159.69724_21.96193,286
40,-159.72198_21.97147,286
41,-159.67200_21.96375,286
42,-159.72064_21.96993,286
43,-159.72023_21.97163,286
44,-159.71762_21.97403,286
45,-159.72078_21.97293,286
46,-159.71814_21.97122,286
47,-159.72011_21.97304,286
48,-159.71886_21.97352,286
49,-159.71560_21.96853,286
50,-159.70858_21.96273,286
51,-159.70275_21.96432,286
52,-159.70350_21.96543,286
53,-159.70479_21.96613,286
54,-159.70975_21.96523,286
55,-159.70710_21.96424,286
56,-159.70961_21.96591,286
57,-159.71316_21.96750,286
58,-159.71290_21.97114,286
59,-159.70435_21.96105,286
60,-159.70381_21.96284,286
61,-159.70535_21.96318,286
62,-159.70661_21.96261,286
63,-159.70494_21.96378,286
64,-159.71137_21.96656,286
65,-159.66144_22.11946,286
66,-159.65420_22.12964,286
67,-159.45977_21.90457,279
68,-159.36000_21.96334,285
69,-159.36176_21.96581,285
70,-159.37219_22.05729,282
71,-159.36946_22.05793,282
72,-159.38467_22.05333,282
73,-159.38407_22.05409,282
74,-159.38316_22.05448,282
75,-159.49511_22.21023,283
76,-159.49588_22.20505,283
77,-159.58774_21.92027,287
78,-159.58748_21.92049,287
79,-159.58844_21.92623,287
80,-159.58862_21.92508,287
81,-159.39097_22.21195,278
82,-159.50072_22.20278,283
83,-159.36808_22.08363,282
84,-159.36346_22.07411,282
85,-159.34431_22.06002,281
86,-159.37350_22.05443,282
87,-159.37729_22.05450,282
88,-159.38927_22.06084,282
89,-159.65988_21.96372,286
90,-159.66848_21.95420,286
91,-159.58776_21.91989,287
92,-159.58579_21.91928,287
93,-159.58606_21.92096,287
94,-159.58791_21.92200,287
95,-159.58669_21.92353,287
96,-159.58617_21.92327,287
97,-159.58758_21.92496,287
98,-159.58958_21.92102,287
99,-159.59720_21.90418,287
100,-159.48529_21.92467,280
101,-159.46462_21.92893,279
102,-159.52488_21.90488,289
103,-159.36804_22.05262,281
104,-159.36719_22.05222,281
105,-159.37190_22.05489,281
106,-159.50775_21.93643,289
107,-159.50844_21.93401,289
108,-159.50880_21.92786,289
109,-159.50859_21.92861,289
110,-159.45177_21.87975,279
111,-159.45177_21.87992,279
112,-159.45177_21.88185,279
113,-159.38512_22.05583,282
114,-159.51845_21.92063,289
115,-159.51925_21.92001,289
116,-159.52047_21.91920,289
117,-159.52030_21.91874,289
118,-159.51776_21.91929,289
119,-159.51954_21.91858,289
120,-159.51164_21.93200,289
121,-159.51151_21.92590,289
122,-159.51273_21.93431,289
123,-159.51511_21.90538,289
124,-159.51499_21.91045,289
125,-159.50299_21.89127,289
126,-159.49600_21.91675,280
127,-159.36710_21.94991,284
128,-159.36468_21.94992,284
129,-159.36119_22.06893,281
130,-159.35793_22.07420,281
131,-159.37643_22.06850,282
132,-159.50424_22.20029,283
133,-159.52480_21.92646,289
134,-159.36098_22.09525,282
135,-159.40721_22.20951,278
136,-159.40493_22.20951,278
137,-159.59202_21.90737,287
138,-159.57640_21.91292,289
139,-159.57636_21.91240,289
140,-159.48383_21.92892,280
141,-159.48387_21.93322,280
142,-159.48746_21.92794,280
143,-159.46495_21.90098,279
144,-159.46569_21.89698,279
145,-159.36893_22.05846,282
146,-159.37505_22.06224,282
147,-159.37857_22.10330,290
148,-159.37211_22.10006,290
149,-159.35870_22.09503,282
150,-159.53453_21.92483,289
151,-159.53184_21.92483,289
152,-159.53294_21.92468,289
153,-159.53312_21.92452,289
154,-159.53359_21.92372,289
155,-159.50135_21.91961,280
156,-159.37047_21.97158,285
157,-159.33046_22.09841,288
158,-159.32899_22.09849,288
159,-159.33000_22.09719,288
160,-159.32940_22.09696,288
161,-159.49760_22.20521,283
162,-159.36957_21.96902,285
163,-159.37298_21.96909,285
164,-159.37423_21.96848,285
165,-159.37394_22.07696,282
166,-159.53528_21.92314,289
167,-159.53577_21.92187,289
168,-159.51631_21.92111,289
169,-159.52282_21.92123,289
170,-159.52370_21.92231,289
171,-159.52535_21.92233,289
172,-159.51468_21.90881,289
173,-159.52080_21.91824,289
174,-159.52042_21.91991,289
175,-159.51742_21.94186,289
176,-159.52450_21.93290,289
177,-159.52142_21.93109,289
178,-159.51795_21.93557,289
179,-159.51922_21.93679,289
180,-159.51953_21.93076,289
181,-159.52418_21.93075,289
182,-159.52635_21.93485,289
183,-159.52963_21.92778,289
184,-159.52883_21.92869,289
185,-159.52926_21.92623,289
186,-159.52319_21.92624,289
187,-159.52307_21.92603,289
188,-159.50036_21.92168,280
189,-159.49476_21.92207,280
190,-159.49520_21.92704,289
191,-159.49985_21.92335,289
192,-159.50734_21.92960,289
193,-159.50673_21.92727,289
