,Uid,dist2_MunWells_m
0,-158.15014_21.44250,3179.8331189081077
1,-158.15008_21.44229,3202.9614755165785
2,-158.15032_21.44260,3167.3967371930235
3,-158.15052_21.44248,3178.4323273424134
4,-158.15052_21.44230,3198.0393939501414
5,-158.15099_21.44218,3208.7435062782497
6,-158.15117_21.44210,3216.420475844381
7,-158.15192_21.44198,3226.3845814495744
8,-158.15221_21.44195,3229.1920516502605
9,-158.15277_21.44221,3200.278386715621
10,-158.15294_21.44229,3190.717992883172
11,-158.15310_21.44222,3198.694721868084
12,-158.15326_21.44208,3214.179552454364
13,-158.15327_21.44234,3185.404519311022
14,-158.15346_21.44234,3186.2095707589733
15,-158.15355_21.44217,3205.607246250919
16,-158.15348_21.44201,3222.443905777695
17,-158.15115_21.44198,3229.6177215122816
18,-158.15094_21.44202,3226.474357852587
19,-158.15215_21.44184,3241.515448016602
20,-158.15186_21.44188,3237.485543619452
21,-158.15537_21.44078,3351.8041023588207
22,-158.15480_21.43997,3454.25052935458
23,-158.15531_21.43992,3438.602927763621
24,-158.15568_21.44028,3385.3632502353917
25,-158.15624_21.43977,3410.904357042796
26,-158.15610_21.43965,3429.2464329340496
27,-158.15678_21.43956,3407.519924149326
28,-158.15670_21.43985,3381.3606612989533
29,-158.15694_21.44012,3343.8877885199627
30,-158.15670_21.44009,3357.9016239453867
31,-158.15665_21.44032,3337.6052895577604
32,-159.72365_21.97341,1185.0140354712958
33,-159.72405_21.97366,1204.0832032162436
34,-159.72424_21.97398,1202.6267267601997
35,-159.72294_21.97592,985.0199089722241
36,-159.72179_21.97352,1024.2308454989582
37,-159.72223_21.97407,1022.466721080469
38,-159.66391_21.96353,390.86855598192136
39,-159.69724_21.96193,1760.2311851566412
40,-159.72198_21.97147,1195.231100791154
41,-159.67200_21.96375,266.5594684815509
42,-159.72064_21.96993,1246.989141037094
43,-159.72023_21.97163,1066.922962618056
44,-159.71762_21.97403,696.798395575292
45,-159.72078_21.97293,992.7597335740317
46,-159.71814_21.97122,998.489644368621
47,-159.72011_21.97304,937.571366771915
48,-159.71886_21.97352,814.5204828973219
49,-159.71560_21.96853,1217.068539602471
50,-159.70858_21.96273,1762.9567110729693
51,-159.70275_21.96432,1652.1184087460688
52,-159.70350_21.96543,1579.0221411477448
53,-159.70479_21.96613,1476.6873697598996
54,-159.70975_21.96523,1481.1983271340687
55,-159.70710_21.96424,1616.481508831945
56,-159.70961_21.96591,1406.116144737939
57,-159.71316_21.96750,1276.076434819995
58,-159.71290_21.97114,885.3139944923626
59,-159.70435_21.96105,2025.357133620798
60,-159.70381_21.96284,1847.0683476996653
61,-159.70535_21.96318,1770.2050318410156
62,-159.70661_21.96261,1802.7772258099913
63,-159.70494_21.96378,1718.0311746488583
64,-159.71137_21.96656,1343.0506823801918
65,-159.66144_22.11946,1477.353501961297
66,-159.65420_22.12964,492.9667101909651
67,-159.45977_21.90457,787.7202772902907
68,-159.36000_21.96334,1788.1410432474916
69,-159.36176_21.96581,1501.3190781090743
70,-159.37219_22.05729,1931.2812974193405
71,-159.36946_22.05793,1668.4564047633842
72,-159.38467_22.05333,3252.8867599052815
73,-159.38407_22.05409,3157.674272692416
74,-159.38316_22.05448,3054.52387899501
75,-159.49511_22.21023,1563.0467061535346
76,-159.49588_22.20505,1082.5617268099886
77,-159.58774_21.92027,1717.9711766179703
78,-159.58748_21.92049,1692.48997754011
79,-159.58844_21.92623,1279.8094934084802
80,-159.58862_21.92508,1378.2703190033108
81,-159.39097_22.21195,3831.017962500379
82,-159.50072_22.20278,1279.9144982978614
83,-159.36808_22.08363,2056.0605205745574
84,-159.36346_22.07411,928.4399752919805
85,-159.34431_22.06002,264.8142008791766
86,-159.37350_22.05443,2236.812483844392
87,-159.37729_22.05450,2539.748904706904
88,-159.38927_22.06084,3395.255582831249
89,-159.65988_21.96372,790.1478756014765
90,-159.66848_21.95420,1177.918797320191
91,-159.58776_21.91989,1719.0589737491061
92,-159.58579_21.91928,1516.0470614503763
93,-159.58606_21.92096,1549.6617996347088
94,-159.58791_21.92200,1587.4906608851181
95,-159.58669_21.92353,1375.5501772320251
96,-159.58617_21.92327,1369.6501304660985
97,-159.58758_21.92496,1311.7026864462607
98,-159.58958_21.92102,1777.5009013247973
99,-159.59720_21.90418,3197.7892573265917
100,-159.48529_21.92467,1443.5313004055054
101,-159.46462_21.92893,1963.4500503056083
102,-159.52488_21.90488,2959.7763335170075
103,-159.36804_22.05262,2015.5313405313607
104,-159.36719_22.05222,1980.1432592355875
105,-159.37190_22.05489,2080.7664273738465
106,-159.50775_21.93643,1350.3734764299843
107,-159.50844_21.93401,1129.971728759846
108,-159.50880_21.92786,633.7317657836164
109,-159.50859_21.92861,663.2685366172173
110,-159.45177_21.87975,3107.576901499307
111,-159.45177_21.87992,3092.074768200405
112,-159.45177_21.88185,2917.9169570727336
113,-159.38512_22.05583,3168.1774973090246
114,-159.51845_21.92063,1490.5411620264235
115,-159.51925_21.92001,1586.5138844705928
116,-159.52047_21.91920,1732.1681469765292
117,-159.52030_21.91874,1729.5238411762364
118,-159.51776_21.91929,1461.7168147024702
119,-159.51954_21.91858,1660.889508351266
120,-159.51164_21.93200,1147.8152745786897
121,-159.51151_21.92590,783.5574986482317
122,-159.51273_21.93431,1328.2864840262503
123,-159.51511_21.90538,2296.2820132794304
124,-159.51499_21.91045,1817.8148800696285
125,-159.50299_21.89127,3575.8767084342717
126,-159.49600_21.91675,1145.144507573517
