,Uid,In_WellCZ_C
94,-159.37357_22.06906,True
95,-159.36328_22.06538,True
96,-159.36390_22.06773,True
97,-159.33015_22.09919,True
98,-159.34123_22.09025,True
99,-159.34054_22.10211,True
100,-159.32492_22.08178,True
101,-159.32553_22.08172,True
102,-159.33458_22.10202,True
103,-159.33387_22.10167,True
104,-159.33406_22.10123,True
105,-159.33530_22.10169,True
106,-159.33537_22.10147,True
107,-159.33623_22.10038,True
108,-159.33221_22.10030,True
109,-159.32544_22.10578,True
110,-159.30728_22.10523,True
111,-159.37748_22.06915,True
112,-159.38035_22.06920,True
113,-159.37868_22.06961,True
114,-159.47310_21.91459,True
115,-159.46085_21.90865,True
116,-159.33037_22.10003,True
117,-159.50409_21.93054,True
118,-159.38305_22.05495,True
119,-159.38417_22.05490,True
120,-159.38320_22.05659,True
121,-159.37680_22.06449,True
122,-159.37420_22.06317,True
123,-159.37372_22.06362,True
124,-159.38307_22.05401,True
125,-159.37691_22.05516,True
126,-159.37659_22.05540,True
127,-159.45967_21.90987,True
128,-159.35556_22.08683,True
129,-159.32593_22.10400,True
130,-159.32438_22.10028,True
131,-159.46047_21.90824,True
132,-159.46284_21.90879,True
133,-159.46004_21.91025,True
134,-159.46012_21.90833,True
135,-159.46416_21.90948,True
136,-159.37873_22.06304,True
137,-159.38115_22.06516,True
138,-159.37850_22.10217,True
139,-159.37869_22.10502,True
140,-159.46102_21.90893,True
141,-159.46090_21.91025,True
142,-159.46347_21.91170,True
143,-159.37370_21.97093,True
144,-159.37959_22.05706,True
145,-159.37633_22.05733,True
146,-159.36922_22.05521,True
147,-159.36932_22.05537,True
148,-159.38149_22.06356,True
149,-159.37432_22.06690,True
150,-159.36229_22.06604,True
151,-159.33991_22.10263,True
152,-159.33633_22.10208,True
153,-159.33594_22.10184,True
154,-159.33435_22.10059,True
155,-159.33692_22.10055,True
156,-159.42241_22.18663,True
157,-159.38415_22.05442,True
158,-159.38059_22.06291,True
159,-159.36060_22.06923,True
160,-159.35408_22.08706,True
161,-159.33906_22.08778,True
162,-159.32547_22.08136,True
163,-159.32571_22.08328,True
164,-159.33442_22.10194,True
165,-159.33342_22.10086,True
166,-159.33427_22.10077,True
167,-159.33601_22.10092,True
168,-159.33352_22.09934,True
169,-159.36918_22.05668,True
170,-159.38233_22.05676,True
171,-159.38217_22.05627,True
172,-159.38024_22.06266,True
173,-159.38390_22.06336,True
174,-159.36313_22.06885,True
175,-159.36753_22.06972,True
176,-159.32658_22.08062,True
177,-159.34054_22.08988,True
178,-159.32170_22.10235,True
179,-159.33987_22.10137,True
180,-159.34011_22.10245,True
181,-159.32614_22.08144,True
182,-159.32728_22.08146,True
183,-159.32691_22.08363,True
184,-159.35969_22.06905,True
185,-159.36024_22.06819,True
186,-159.36258_22.06534,True
187,-159.35586_22.08802,True
188,-159.33809_22.08960,True
189,-159.32823_22.08688,True
190,-159.32918_22.08126,True
191,-159.33811_22.10105,True
192,-159.33295_22.09984,True
193,-159.30703_22.10436,True
194,-159.38272_22.06221,True
195,-159.37161_22.05748,True
196,-159.34773_22.06077,True
197,-159.37669_22.05509,True
198,-159.37058_22.05509,True
199,-159.37377_21.96945,True
200,-159.32951_22.09895,True
201,-159.33384_22.10124,True
202,-159.33553_22.10101,True
203,-159.33229_22.09983,True
204,-159.30619_22.10298,True
205,-159.30574_22.10201,True
206,-159.38398_22.05362,True
207,-159.38278_22.05477,True
208,-159.37127_22.05546,True
209,-159.37082_22.05587,True
210,-159.37503_22.06804,True
211,-159.37544_22.06811,True
212,-159.38068_22.06911,True
213,-159.38133_22.05597,True
214,-159.37333_21.97123,True
215,-159.37585_22.05576,True
216,-159.37710_22.05697,True
217,-159.37653_22.05741,True
218,-159.38261_22.05553,True
219,-159.38291_22.05514,True
220,-159.38268_22.05626,True
221,-159.37631_22.05529,True
222,-159.36911_22.05504,True
223,-159.37843_22.06862,True
224,-159.32471_22.08127,True
225,-159.32837_22.08410,True
226,-159.33708_22.10121,True
227,-159.33649_22.10150,True
228,-159.33551_22.10214,True
229,-159.33598_22.10117,True
230,-159.33541_22.10131,True
231,-159.33648_22.10060,True
232,-159.33269_22.09953,True
233,-159.33357_22.10012,True
234,-159.36307_22.06277,True
235,-159.37554_22.06852,True
236,-159.37914_22.06873,True
237,-159.35565_22.08992,True
238,-159.37554_22.06429,True
239,-159.45957_21.90903,True
240,-159.38246_22.05573,True
241,-159.38322_22.05478,True
242,-159.38397_22.05498,True
243,-159.38326_22.05537,True
244,-159.38282_22.06385,True
245,-159.37450_22.06848,True
246,-159.37822_22.06906,True
247,-159.36283_22.06695,True
248,-159.33161_22.08711,True
249,-159.34032_22.10227,True
250,-159.32554_22.08313,True
251,-159.32711_22.08185,True
252,-159.32839_22.08505,True
253,-159.33832_22.10078,True
254,-159.33619_22.10197,True
255,-159.33408_22.10168,True
256,-159.33489_22.10057,True
257,-159.33795_22.10058,True
258,-159.33284_22.10002,True
259,-159.33272_22.10095,True
260,-159.37097_22.05573,True
261,-159.37029_22.05593,True
262,-159.35843_22.06781,True
263,-159.37590_22.06297,True
264,-159.37451_22.06466,True
265,-159.37317_21.97001,True
266,-159.32751_22.10464,True
267,-159.32999_22.09875,True
268,-159.46039_21.90861,True
269,-159.46623_21.91187,True
270,-159.37449_21.96992,True
271,-159.37703_22.05634,True
272,-159.38234_22.05535,True
273,-159.38240_22.05628,True
274,-159.33307_22.10722,True
275,-159.33312_22.10916,True
276,-159.32616_22.10589,True
277,-159.30518_22.10217,True
278,-159.38216_22.05478,True
279,-159.37076_22.05552,True
280,-159.37000_22.05542,True
281,-159.51968_21.94574,True
282,-159.35761_22.06821,True
283,-159.37478_22.06283,True
284,-159.37401_21.96930,True
285,-159.32470_22.10233,True
286,-159.43590_21.90598,True
287,-159.36712_22.05529,True
288,-159.37681_22.05596,True
289,-159.37585_22.05679,True
290,-159.37595_22.05714,True
291,-159.37704_22.06240,True
292,-159.36179_22.06920,True
293,-159.36875_22.07012,True
294,-159.34254_22.09065,True
295,-159.33415_22.08618,True
296,-159.33241_22.08524,True
297,-159.32107_22.09999,True
298,-159.33973_22.10286,True
299,-159.32503_22.08131,True
300,-159.33668_22.10182,True
301,-159.33429_22.10181,True
302,-159.33505_22.10100,True
303,-159.33232_22.10010,True
304,-159.30726_22.10495,True
305,-159.38362_22.05429,True
306,-159.37029_22.05538,True
307,-159.35921_22.06928,True
308,-159.35907_22.06866,True
309,-159.35912_22.06795,True
310,-159.37328_22.06474,True
311,-159.32529_22.09980,True
312,-159.32828_22.09908,True
313,-159.46066_21.90845,True
314,-159.46073_21.90742,True
315,-159.37320_22.05486,True
316,-159.37458_22.05534,True
317,-159.37670_22.05712,True
318,-159.37579_22.05516,True
319,-159.37758_22.06341,True
320,-159.37648_22.06691,True
321,-159.35829_22.08810,True
322,-159.35334_22.08705,True
323,-159.36053_22.08910,True
324,-159.33856_22.09039,True
325,-159.33431_22.09998,True
326,-159.33548_22.10171,True
327,-159.33547_22.10116,True
328,-159.33640_22.10044,True
329,-159.36988_22.05737,True
330,-159.37256_22.05740,True
331,-159.37329_22.05722,True
332,-159.37782_22.05466,True
333,-159.37739_22.05470,True
334,-159.46591_21.91576,True
335,-159.45960_21.90930,True
336,-159.37550_22.06368,True
337,-159.37281_22.06399,True
338,-159.37333_22.06416,True
339,-159.52563_21.93716,True
340,-159.50362_21.92602,True
341,-159.46395_21.90968,True
342,-159.37815_22.05585,True
343,-159.38188_22.05593,True
344,-159.37885_22.06238,True
345,-159.37917_22.06745,True
346,-159.32481_22.08501,True
347,-159.33666_22.10160,True
348,-159.33497_22.10134,True
349,-159.33288_22.10023,True
350,-159.33332_22.10018,True
351,-159.54319_22.20961,True
352,-159.38283_22.06243,True
353,-159.38245_22.05440,True
354,-159.37112_22.05560,True
355,-159.35915_22.06898,True
356,-159.37698_22.06847,True
357,-159.37419_21.96907,True
358,-159.32488_22.10287,True
359,-159.32927_22.09887,True
360,-159.46136_21.91166,True
361,-159.46178_21.90759,True
362,-159.46326_21.90963,True
363,-159.37714_22.05609,True
364,-159.37913_22.05694,True
365,-159.38186_22.05617,True
366,-159.38189_22.05640,True
367,-159.36053_22.06880,True
368,-159.37876_22.06875,True
369,-159.36254_22.06822,True
370,-159.34008_22.09018,True
371,-159.32558_22.08251,True
372,-159.32703_22.08204,True
373,-159.33632_22.10139,True
374,-159.33476_22.10208,True
375,-159.33317_22.10153,True
376,-159.33329_22.10135,True
377,-159.33386_22.10090,True
378,-159.33770_22.10070,True
379,-159.33652_22.10078,True
380,-159.33653_22.10799,True
381,-159.32374_22.10443,True
382,-159.30499_22.10206,True
383,-159.38430_22.05400,True
384,-159.34816_22.06094,True
385,-159.37791_22.05545,True
386,-159.37796_22.05566,True
387,-159.37073_22.05495,True
388,-159.36130_22.06840,True
389,-159.35926_22.06958,True
390,-159.37661_22.06918,True
391,-159.37362_21.97045,True
392,-159.32405_22.10322,True
393,-159.46218_21.90743,True
394,-159.46029_21.90801,True
395,-159.37695_22.05722,True
396,-159.37744_22.05621,True
397,-159.37855_22.06223,True
398,-159.38029_22.06771,True
399,-159.36658_22.06683,True
400,-159.37208_22.06489,True
401,-159.35984_22.06866,True
402,-159.36217_22.07015,True
403,-159.36256_22.06613,True
404,-159.33254_22.08754,True
405,-159.32595_22.08247,True
406,-159.32749_22.08207,True
407,-159.33006_22.08244,True
408,-159.33750_22.10112,True
409,-159.33469_22.10126,True
410,-159.33530_22.10040,True
411,-159.33536_22.10024,True
412,-159.33697_22.10071,True
413,-159.33273_22.10031,True
414,-159.33245_22.09993,True
415,-159.33313_22.10780,True
416,-159.30658_22.10463,True
417,-159.30645_22.10443,True
418,-159.38260_22.05421,True
419,-159.38330_22.05391,True
420,-159.36976_22.05509,True
421,-159.37320_22.06353,True
422,-159.46093_21.90989,True
423,-159.46448_21.91175,True
424,-159.46395_21.91169,True
425,-159.46181_21.90723,True
426,-159.37443_21.97075,True
427,-159.37551_22.05748,True
428,-159.36312_22.08876,True
429,-159.36017_22.06960,True
430,-159.36237_22.06932,True
431,-159.37452_22.06802,True
432,-159.37600_22.06825,True
433,-159.34166_22.08959,True
434,-159.32637_22.08583,True
435,-159.32381_22.08397,True
436,-159.34096_22.10224,True
437,-159.32757_22.08189,True
438,-159.33824_22.10095,True
439,-159.33687_22.10126,True
440,-159.33512_22.10211,True
441,-159.33589_22.10052,True
442,-159.33231_22.10046,True
443,-159.30517_22.10167,True
444,-159.30643_22.10236,True
445,-159.43478_22.18528,True
446,-159.34567_22.06183,True
447,-159.37646_22.05503,True
448,-159.37134_22.05497,True
449,-159.37567_22.06336,True
450,-159.47414_21.91500,True
451,-159.46007_21.90919,True
452,-159.37482_22.06927,True
453,-159.50340_21.92681,True
454,-159.32642_22.08140,True
455,-159.32505_22.08266,True
456,-159.32891_22.08546,True
457,-159.33363_22.10077,True
458,-159.33569_22.10048,True
459,-159.37495_21.96912,True
460,-159.37721_22.05671,True
461,-159.35852_22.08732,True
462,-159.36118_22.08921,True
463,-159.32536_22.08220,True
464,-159.32538_22.08297,True
465,-159.33470_22.10149,True
466,-159.32481_22.10538,True
467,-159.30574_22.10249,True
468,-159.37087_22.05731,True
469,-159.37067_22.05601,True
470,-159.35843_22.06821,True
471,-159.50440_21.92570,True
472,-159.38066_22.05637,True
473,-159.38334_22.05575,True
474,-159.38378_22.05588,True
475,-159.38539_22.06587,True
476,-159.36020_22.06874,True
477,-159.36086_22.06886,True
478,-159.36815_22.07004,True
479,-159.32556_22.08212,True
480,-159.33787_22.10129,True
481,-159.33531_22.10213,True
482,-159.33718_22.10042,True
483,-159.33640_22.10101,True
484,-159.31688_22.13470,True
485,-159.37308_22.05761,True
486,-159.37351_22.05756,True
487,-159.37549_22.05465,True
488,-159.45953_21.90877,True
489,-159.35975_22.06950,True
490,-159.36200_22.08975,True
491,-159.37427_22.06389,True
492,-159.32983_22.09904,True
493,-159.50416_21.92937,True
494,-159.46177_21.91166,True
495,-159.46077_21.91175,True
496,-159.37463_21.96919,True
497,-159.37747_22.05664,True
498,-159.37514_22.05494,True
499,-159.37492_22.05486,True
500,-159.36953_22.05572,True
501,-159.37935_22.06603,True
502,-159.37539_22.06707,True
503,-159.36496_22.06980,True
504,-159.34929_22.09199,True
505,-159.33304_22.08583,True
506,-159.32340_22.08368,True
507,-159.32576_22.08207,True
508,-159.32798_22.08152,True
509,-159.32720_22.08165,True
510,-159.33666_22.10131,True
511,-159.33663_22.10095,True
512,-159.33562_22.10155,True
513,-159.33585_22.10026,True
514,-159.33328_22.09925,True
515,-159.33174_22.10065,True
516,-159.30694_22.10416,True
517,-159.30717_22.10457,True
518,-159.35677_22.19316,True
519,-159.35362_22.19693,True
520,-159.37105_22.05749,True
521,-159.38384_22.05419,True
522,-159.34781_22.06112,True
523,-159.37746_22.05519,True
524,-159.37977_22.06886,True
525,-159.37411_22.06251,True
526,-159.37294_21.97025,True
527,-159.32932_22.09859,True
528,-159.50438_21.92640,True
529,-159.46579_21.91196,True
530,-159.45989_21.90865,True
531,-159.46097_21.90731,True
532,-159.37412_21.97071,True
533,-159.37372_22.05582,True
534,-159.37792_22.05710,True
535,-159.38104_22.05640,True
536,-159.37721_22.05730,True
537,-159.37731_22.05696,True
538,-159.36967_22.05768,True
539,-159.38290_22.05602,True
540,-159.36986_22.05622,True
541,-159.36057_22.06968,True
542,-159.36186_22.06893,True
543,-159.36249_22.06879,True
544,-159.37400_22.06936,True
545,-159.36275_22.06733,True
546,-159.35747_22.08744,True
547,-159.36116_22.09011,True
548,-159.34127_22.08933,True
549,-159.32841_22.08647,True
550,-159.32796_22.08623,True
551,-159.32614_22.08478,True
552,-159.34081_22.10238,True
553,-159.32642_22.08183,True
554,-159.32470_22.08236,True
555,-159.32773_22.08151,True
556,-159.32744_22.08332,True
557,-159.33494_22.10210,True
558,-159.33432_22.10160,True
559,-159.33407_22.10049,True
560,-159.33512_22.09997,True
561,-159.33470_22.10106,True
562,-159.30594_22.10261,True
563,-159.65009_22.12645,True
564,-159.34747_22.06183,True
565,-159.52076_21.94310,True
566,-159.37752_22.10256,True
567,-159.37339_21.96984,True
568,-159.32359_22.10228,True
569,-159.46003_21.90901,True
570,-159.46022_21.91020,True
571,-159.37646_22.05673,True
572,-159.38225_22.05593,True
573,-159.38369_22.05460,True
574,-159.37537_22.05501,True
575,-159.37472_22.05477,True
576,-159.37694_22.06555,True
577,-159.37697_22.06385,True
578,-159.37255_22.06563,True
579,-159.37437_22.06948,True
580,-159.36290_22.06666,True
581,-159.36229_22.06741,True
582,-159.33064_22.08775,True
583,-159.32596_22.08567,True
584,-159.33944_22.10148,True
585,-159.33936_22.10105,True
586,-159.32605_22.08207,True
587,-159.32714_22.08333,True
588,-159.32970_22.08189,True
589,-159.33506_22.10013,True
590,-159.33500_22.10117,True
591,-159.33731_22.10081,True
592,-159.33306_22.09966,True
593,-159.33212_22.10051,True
594,-159.30608_22.10276,True
595,-159.30536_22.10178,True
596,-159.36113_22.06310,True
597,-159.38155_22.05555,True
598,-159.38186_22.05517,True
599,-159.38284_22.05410,True
600,-159.37141_22.05532,True
601,-159.37011_22.05558,True
602,-159.36060_22.06826,True
603,-159.35808_22.06882,True
604,-159.32552_22.10180,True
605,-159.32389_22.10280,True
606,-159.32889_22.09874,True
607,-159.32911_22.09882,True
608,-159.37352_21.97108,True
609,-159.37812_22.05653,True
610,-159.37607_22.05628,True
611,-159.37732_22.05646,True
612,-159.37672_22.05748,True
613,-159.37778_22.05729,True
614,-159.37933_22.05702,True
615,-159.37941_22.05633,True
616,-159.37940_22.06200,True
617,-159.37328_22.06515,True
618,-159.36402_22.06564,True
619,-159.36254_22.06856,True
620,-159.36243_22.06905,True
621,-159.35283_22.09222,True
622,-159.35731_22.08849,True
623,-159.33993_22.08940,True
624,-159.34373_22.09076,True
625,-159.33252_22.10043,True
626,-159.33311_22.10015,True
627,-159.36035_22.06388,True
628,-159.37069_22.05712,True
629,-159.37262_22.05703,True
630,-159.37309_22.05674,True
631,-159.37156_22.05518,True
632,-159.50414_21.92984,True
633,-159.33585_22.08475,True
634,-159.52049_21.94254,True
635,-159.38249_22.05516,True
636,-159.35365_22.08707,True
637,-159.38156_22.06642,True
638,-159.35976_22.06485,True
639,-159.46065_21.90886,True
640,-159.32433_22.10161,True
641,-159.32849_22.09846,True
642,-159.50324_21.92741,True
643,-159.46015_21.90969,True
644,-159.46269_21.90939,True
645,-159.46005_21.90794,True
646,-159.37433_21.96930,True
647,-159.37514_22.05553,True
648,-159.37628_22.05575,True
649,-159.37821_22.06598,True
650,-159.36377_22.06609,True
651,-159.36230_22.06960,True
652,-159.32537_22.08537,True
653,-159.33609_22.10169,True
654,-159.33392_22.09993,True
655,-159.33519_22.10068,True
656,-159.33702_22.10088,True
657,-159.33606_22.10031,True
658,-159.33258_22.09972,True
659,-159.30636_22.10400,True
660,-159.30632_22.10373,True
661,-159.30556_22.10238,True
662,-159.64963_22.12539,True
663,-159.50428_21.92876,True
664,-159.36161_22.08868,True
665,-159.37357_21.96966,True
666,-159.32327_22.10345,True
667,-159.32723_22.10437,True
668,-159.47535_21.91524,True
669,-159.46087_21.90960,True
670,-159.37878_22.05625,True
671,-159.38397_22.05529,True
672,-159.38377_22.05505,True
673,-159.38407_22.05596,True
674,-159.38353_22.05658,True
675,-159.36990_22.06455,True
676,-159.37602_22.06988,True
677,-159.37361_22.06984,True
678,-159.36439_22.06849,True
679,-159.32738_22.08512,True
680,-159.32625_22.08264,True
681,-159.32846_22.08150,True
682,-159.33326_22.10115,True
683,-159.33465_22.10010,True
684,-159.33559_22.10084,True
685,-159.30674_22.10349,True
686,-159.35839_22.19148,True
687,-159.36276_22.06406,True
688,-159.64906_22.12742,True
689,-159.34768_22.06148,True
690,-159.37760_22.05541,True
691,-159.45964_21.90955,True
692,-159.46227_21.91271,True
693,-159.46295_21.91164,True
694,-159.38264_22.05496,True
695,-159.36098_22.06976,True
696,-159.35861_22.06925,True
697,-159.37598_22.06510,True
698,-159.52063_21.94282,True
699,-159.47487_21.91513,True
700,-159.46109_21.90755,True
701,-159.37348_22.05496,True
702,-159.37763_22.05708,True
703,-159.38308_22.05560,True
704,-159.37615_22.05493,True
705,-159.37522_22.06582,True
706,-159.36197_22.06844,True
707,-159.32282_22.10127,True
708,-159.32569_22.08139,True
709,-159.32671_22.08163,True
710,-159.32741_22.08226,True
711,-159.33794_22.10108,True
712,-159.33592_22.10208,True
713,-159.33410_22.09987,True
714,-159.33724_22.10063,True
715,-159.30595_22.10217,True
716,-159.30657_22.10253,True
717,-159.30938_22.13676,True
718,-159.35526_22.19435,True
719,-159.37013_22.05760,True
720,-159.38231_22.05459,True
721,-159.34588_22.06145,True
722,-159.37718_22.05482,True
723,-159.37018_22.05510,True
724,-159.36988_22.05525,True
725,-159.50406_21.92421,True
726,-159.37587_22.06908,True
727,-159.50477_21.92757,True
728,-159.50309_21.92794,True
729,-159.50388_21.92688,True
730,-159.46016_21.90994,True
731,-159.38024_22.05647,True
732,-159.37979_22.05652,True
733,-159.37903_22.05633,True
734,-159.37614_22.05725,True
735,-159.37823_22.05692,True
736,-159.37815_22.05725,True
737,-159.37867_22.05711,True
738,-159.37002_22.05635,True
739,-159.38395_22.06719,True
740,-159.36380_22.06661,True
741,-159.36268_22.06763,True
742,-159.36261_22.06793,True
743,-159.35664_22.08777,True
744,-159.35500_22.08711,True
745,-159.34065_22.09062,True
746,-159.33236_22.08443,True
747,-159.32690_22.08592,True
748,-159.34112_22.10210,True
749,-159.32926_22.08233,True
750,-159.32862_22.08178,True
751,-159.33366_22.10163,True
752,-159.33429_22.10121,True
753,-159.33420_22.10095,True
754,-159.30675_22.10479,True
755,-159.30624_22.10225,True
756,-159.38201_22.05497,True
757,-159.37781_22.05591,True
758,-159.37946_22.06877,True
759,-159.37476_22.06340,True
760,-159.50267_21.92970,True
761,-159.46144_21.90773,True
762,-159.46198_21.90751,True
763,-159.37618_22.05602,True
764,-159.37980_22.05704,True
765,-159.37572_22.05708,True
766,-159.37834_22.05665,True
767,-159.37745_22.05739,True
768,-159.37761_22.05632,True
769,-159.37839_22.05610,True
770,-159.37020_22.05647,True
771,-159.37632_22.06429,True
772,-159.37773_22.06470,True
773,-159.36095_22.06833,True
774,-159.37597_22.06860,True
775,-159.35176_22.09267,True
776,-159.32656_22.08502,True
777,-159.32592_22.08142,True
778,-159.32488_22.08251,True
779,-159.32522_22.08228,True
780,-159.32740_22.08271,True
781,-159.32765_22.08170,True
782,-159.32895_22.08300,True
783,-159.33377_22.10021,True
784,-159.33500_22.10030,True
785,-159.33573_22.10139,True
786,-159.33309_22.10860,True
787,-159.30639_22.10421,True
788,-159.31996_22.13460,True
789,-159.38138_22.05646,True
790,-159.35738_22.06867,True
791,-159.32592_22.10299,True
792,-159.32281_22.10302,True
793,-159.46236_21.90735,True
794,-159.37433_22.05525,True
795,-159.37691_22.05660,True
796,-159.37800_22.05687,True
797,-159.35584_22.08854,True
798,-159.33975_22.08830,True
799,-159.33237_22.08400,True
800,-159.32389_22.08490,True
801,-159.34065_22.10252,True
802,-159.32855_22.08256,True
803,-159.33618_22.10081,True
804,-159.30685_22.10391,True
805,-156.51572_20.90680,True
806,-156.51615_20.90606,True
807,-156.51015_20.91484,True
808,-156.51082_20.91514,True
809,-156.51313_20.91280,True
810,-156.51345_20.91249,True
811,-156.51495_20.91194,True
812,-156.30947_20.77601,True
813,-156.30917_20.77593,True
814,-156.30949_20.77557,True
815,-156.30982_20.77566,True
816,-156.31015_20.77566,True
817,-156.30917_20.77505,True
818,-156.31008_20.77536,True
819,-156.30976_20.77502,True
820,-156.30967_20.77471,True
821,-156.30936_20.77487,True
822,-156.30920_20.77452,True
823,-156.30874_20.77465,True
824,-156.30838_20.77497,True
825,-156.30843_20.77559,True
826,-156.31003_20.77624,True
827,-156.30976_20.77616,True
828,-156.30869_20.77435,True
829,-156.30852_20.77460,True
830,-156.30829_20.77459,True
831,-156.31008_20.77583,True
832,-156.30980_20.77541,True
833,-156.30949_20.77531,True
834,-156.31162_20.77791,True
835,-156.31101_20.77478,True
836,-156.30895_20.77587,True
837,-156.30871_20.77579,True
838,-156.31050_20.77617,True
839,-156.31078_20.77680,True
840,-156.31516_20.77910,True
841,-156.51121_20.88885,True
842,-156.54055_20.97499,True
843,-156.33510_20.79431,True
844,-156.31176_20.89421,True
845,-156.31317_20.89588,True
846,-156.31364_20.89462,True
847,-156.31263_20.89204,True
848,-156.31142_20.89301,True
849,-156.31080_20.89348,True
850,-156.31004_20.89222,True
851,-156.30209_20.81506,True
852,-156.50941_20.85766,True
853,-156.63919_20.85386,True
854,-156.28391_20.92228,True
855,-156.28357_20.91869,True
856,-156.28534_20.91825,True
857,-156.28073_20.91618,True
858,-156.28007_20.91432,True
859,-156.28125_20.91469,True
860,-156.28437_20.92128,True
861,-156.28238_20.92220,True
862,-156.28359_20.92416,True
863,-156.28410_20.91141,True
864,-156.28403_20.91114,True
865,-156.28397_20.91087,True
866,-156.28392_20.91059,True
867,-156.28385_20.91033,True
868,-156.28393_20.90950,True
869,-156.28396_20.90922,True
870,-156.28479_20.90965,True
871,-156.31010_20.87058,True
872,-156.30880_20.87040,True
873,-156.30749_20.87076,True
874,-156.30691_20.87113,True
875,-156.30564_20.87159,True
876,-156.30472_20.87206,True
877,-156.30931_20.87678,True
878,-156.32571_20.90557,True
879,-156.32269_20.90278,True
880,-156.28645_20.92049,True
881,-156.28377_20.91261,True
882,-156.28361_20.90654,True
883,-156.32201_20.77937,True
884,-156.28723_20.92434,True
885,-156.33702_20.79449,True
886,-156.33415_20.79327,True
887,-156.51369_20.91326,True
888,-156.51278_20.91462,True
889,-156.51169_20.91485,True
890,-156.51278_20.91307,True
891,-156.51273_20.91389,True
892,-156.32247_20.90106,True
893,-156.32380_20.90596,True
894,-156.32404_20.90616,True
895,-156.32349_20.90698,True
896,-156.32053_20.90088,True
897,-156.32272_20.90160,True
898,-156.32257_20.90173,True
899,-156.32243_20.90184,True
900,-156.32223_20.90191,True
901,-156.29546_20.84005,True
902,-156.32315_20.90672,True
903,-156.32315_20.90617,True
904,-156.32269_20.90621,True
905,-156.32304_20.90649,True
906,-156.32473_20.90646,True
907,-156.32034_20.87716,True
908,-156.32074_20.87802,True
909,-156.31795_20.87923,True
910,-156.31644_20.87397,True
911,-156.30869_20.77383,True
912,-156.30919_20.77395,True
913,-156.30946_20.77403,True
914,-156.30965_20.77414,True
915,-156.30985_20.77420,True
916,-156.31008_20.77427,True
917,-156.31052_20.77480,True
918,-156.31124_20.77515,True
919,-156.31045_20.77507,True
920,-156.31057_20.77536,True
921,-156.31111_20.77580,True
922,-156.31128_20.77708,True
923,-156.31139_20.77756,True
924,-156.31022_20.77730,True
925,-156.31046_20.77717,True
926,-156.30980_20.86903,True
927,-156.30627_20.86994,True
928,-156.30644_20.86973,True
929,-156.30536_20.86516,True
930,-156.31062_20.86972,True
