,Uid,In_WellCZ_C
0,-159.37219_22.05729,True
1,-159.38407_22.05409,True
2,-159.38316_22.05448,True
3,-159.37729_22.05450,True
4,-159.37190_22.05489,True
5,-159.36119_22.06893,True
6,-159.37643_22.06850,True
7,-159.37857_22.10330,True
8,-159.32899_22.09849,True
9,-159.46051_21.90991,True
10,-159.46010_21.90947,True
11,-159.46052_21.90751,True
12,-159.37658_22.05647,True
13,-159.37595_22.05653,True
14,-159.38219_22.05554,True
15,-159.37812_22.06226,True
16,-159.36393_22.08856,True
17,-159.36191_22.06867,True
18,-159.37382_22.06840,True
19,-159.36211_22.06667,True
20,-159.33379_22.10044,True
21,-159.33618_22.10108,True
22,-159.33579_22.10099,True
23,-159.33320_22.09940,True
24,-159.30537_22.10228,True
25,-159.34710_22.06137,True
26,-159.37727_22.05570,True
27,-159.45949_21.90853,True
28,-159.37043_22.05523,True
29,-159.37481_21.96887,True
30,-159.34032_22.10461,True
31,-159.47888_21.96240,True
32,-159.46052_21.91023,True
33,-159.38276_22.05533,True
34,-159.38390_22.05554,True
35,-159.38328_22.05602,True
36,-159.36963_22.05589,True
37,-159.36974_22.05605,True
38,-159.33991_22.10113,True
39,-159.32741_22.08296,True
40,-159.33347_22.10155,True
41,-159.37133_22.05750,True
42,-159.36942_22.05554,True
43,-159.37389_21.97079,True
44,-159.37670_22.05622,True
45,-159.38296_22.05582,True
46,-159.38136_22.05622,True
47,-159.37778_22.05488,True
48,-159.37650_22.05459,True
49,-159.37696_22.05473,True
50,-159.38369_22.05617,True
51,-159.38400_22.05615,True
52,-159.38288_22.05664,True
53,-159.37983_22.06247,True
54,-159.36167_22.06975,True
55,-159.36304_22.06606,True
56,-159.36183_22.06788,True
57,-159.32526_22.08133,True
58,-159.33108_22.08632,True
59,-159.32952_22.08624,True
60,-159.33572_22.10214,True
61,-159.33443_22.10041,True
62,-159.33487_22.10171,True
63,-159.33495_22.10153,True
64,-159.33512_22.10084,True
65,-159.33690_22.10038,True
66,-159.33612_22.10062,True
67,-159.33366_22.09987,True
68,-159.32439_22.10491,True
69,-159.30698_22.10490,True
70,-159.30500_22.10156,True
71,-159.30555_22.10189,True
72,-159.30666_22.10275,True
73,-159.30671_22.10305,True
74,-159.31668_22.13729,True
75,-159.64967_22.12687,True
76,-159.38137_22.05573,True
77,-159.46218_21.91165,True
78,-159.37173_22.05505,True
79,-159.37061_22.05565,True
80,-159.33631_22.08515,True
81,-159.35790_22.06791,True
82,-159.37401_22.06889,True
83,-159.37489_22.06502,True
84,-159.37320_21.97034,True
85,-159.46045_21.90962,True
86,-159.46157_21.90733,True
87,-159.37211_22.05607,True
88,-159.37871_22.05679,True
89,-159.37693_22.05754,True
90,-159.37893_22.05686,True
91,-159.38346_22.05469,True
92,-159.37448_22.05475,True
93,-159.36016_22.06914,True
