,Uid,PepPerHos
338,-159.40798_22.21438,2.55
339,-159.40833_22.21361,2.55
340,-159.43192_22.21479,2.55
341,-159.45543_22.22546,2.55
342,-159.49614_22.20425,2.59
343,-159.49543_22.20661,2.59
344,-159.55012_22.20986,2.59
345,-159.54394_22.21218,2.59
346,-159.54703_22.22181,2.59
347,-159.54674_22.22329,2.59
348,-159.55117_22.22221,2.59
349,-159.55194_22.22324,2.59
350,-159.54672_22.22050,2.59
351,-159.54536_22.21996,2.59
352,-159.52538_21.90654,2.87
353,-159.72647_21.97268,2.92
354,-159.72606_21.97265,2.92
355,-159.71604_21.96934,2.92
356,-159.57795_21.90986,2.87
357,-159.72371_21.97278,2.92
358,-159.72529_21.97335,2.92
359,-159.72505_21.97368,2.92
360,-159.72349_21.97565,2.92
361,-159.72235_21.97321,2.92
362,-159.72141_21.97430,2.92
363,-159.72566_21.97264,2.92
364,-159.72500_21.97196,2.92
365,-159.69396_21.96167,2.92
366,-159.69751_21.96055,2.92
367,-159.67280_21.96372,2.92
368,-159.72208_21.97059,2.92
369,-159.72210_21.97241,2.92
370,-159.72135_21.97013,2.92
371,-159.72184_21.96995,2.92
372,-159.71902_21.96966,2.92
373,-159.72099_21.97306,2.92
374,-159.71703_21.97278,2.92
375,-159.71388_21.96736,2.92
376,-159.70893_21.96316,2.92
377,-159.70931_21.96403,2.92
378,-159.69832_21.96204,2.92
379,-159.70313_21.96470,2.92
380,-159.70486_21.96507,2.92
381,-159.70774_21.96392,2.92
382,-159.70778_21.96653,2.92
383,-159.70695_21.96504,2.92
384,-159.71021_21.96630,2.92
385,-159.70468_21.96153,2.92
386,-159.70377_21.96132,2.92
387,-159.70589_21.96353,2.92
388,-159.70763_21.96228,2.92
389,-159.58786_21.92058,3.13
390,-159.50055_22.20288,2.59
391,-159.35650_22.08605,2.67
392,-159.52136_21.92770,2.87
393,-159.34440_22.06119,2.6
394,-159.34710_22.06137,2.6
395,-159.34453_22.06097,2.6
396,-159.34135_22.05896,2.6
397,-159.34183_22.05893,2.6
398,-159.37355_22.05420,2.67
399,-159.37423_22.05259,2.67
400,-159.37605_22.05446,2.67
401,-159.37727_22.05570,2.67
402,-159.38843_22.06114,2.67
403,-159.38679_22.06107,2.67
404,-159.39185_22.06289,2.67
405,-159.39080_22.06277,2.67
406,-159.66725_21.95768,2.92
407,-159.65750_21.96444,2.92
408,-159.56455_21.97204,3.13
409,-159.58616_21.91903,3.13
410,-159.58602_21.91855,3.13
411,-159.58670_21.92002,3.13
412,-159.58610_21.92079,3.13
413,-159.58640_21.92221,3.13
414,-159.58692_21.92293,3.13
415,-159.58811_21.92389,3.13
416,-159.58739_21.92371,3.13
417,-159.58721_21.92581,3.13
418,-159.58723_21.92564,3.13
419,-159.48584_21.92643,2.62
420,-159.48571_21.92316,2.62
421,-159.48700_21.92356,2.62
422,-159.45949_21.90853,2.71
423,-159.36748_22.05206,2.6
424,-159.37043_22.05523,2.6
425,-159.36979_22.05433,2.6
426,-159.50732_21.93429,2.87
427,-159.50574_21.94040,2.87
428,-159.50480_21.92821,2.87
429,-159.45109_21.87995,2.71
430,-159.32489_22.05806,2.6
431,-159.32532_22.05877,2.6
432,-159.52006_21.91960,2.87
433,-159.51934_21.91956,2.87
434,-159.51879_21.91864,2.87
435,-159.51540_21.93265,2.87
436,-159.51226_21.93732,2.87
437,-159.51249_21.90820,2.87
438,-159.52487_21.90813,2.87
439,-159.50534_22.20035,2.59
440,-159.52501_21.92633,2.87
441,-159.36023_22.10103,3.0
442,-159.36487_22.09652,3.0
443,-159.36248_22.09615,3.0
444,-159.35717_22.09665,2.67
445,-159.40753_22.20912,2.55
446,-159.40325_22.21157,2.55
447,-159.57732_21.91312,2.87
448,-159.57655_21.91440,2.87
449,-159.57610_21.91491,2.87
450,-159.57559_21.91308,2.87
451,-159.57469_21.91388,2.87
452,-159.57419_21.91434,2.87
453,-159.37029_21.97140,2.67
454,-159.37481_21.96887,2.67
455,-159.36989_21.97046,2.67
456,-159.37674_21.97925,2.67
457,-159.34032_22.10461,2.96
458,-159.49930_22.20367,2.59
459,-159.49905_22.20387,2.59
460,-159.37256_21.96830,2.67
461,-159.53555_21.92232,2.87
462,-159.53622_21.92272,2.87
463,-159.51228_21.91677,2.87
464,-159.51344_21.91629,2.87
465,-159.52600_21.92479,2.87
466,-159.53145_21.92218,2.87
467,-159.52440_21.92260,2.87
468,-159.52394_21.92463,2.87
469,-159.52692_21.92037,2.87
470,-159.52655_21.92046,2.87
471,-159.52837_21.92326,2.87
472,-159.51585_21.90435,2.87
473,-159.51599_21.90452,2.87
474,-159.51613_21.90468,2.87
475,-159.51844_21.90540,2.87
476,-159.52229_21.91534,2.87
477,-159.52283_21.91723,2.87
478,-159.51859_21.90787,2.87
479,-159.51760_21.91142,2.87
480,-159.51614_21.90998,2.87
481,-159.51816_21.91090,2.87
482,-159.51407_21.90828,2.87
483,-159.51485_21.90895,2.87
484,-159.52371_21.91964,2.87
485,-159.52361_21.91703,2.87
486,-159.51870_21.91808,2.87
487,-159.51457_21.93057,2.87
488,-159.52059_21.92858,2.87
489,-159.51860_21.93940,2.87
490,-159.51759_21.93683,2.87
491,-159.52036_21.93245,2.87
492,-159.52960_21.93044,2.87
493,-159.52840_21.92637,2.87
494,-159.52754_21.92643,2.87
495,-159.49828_21.92269,2.62
496,-159.50058_21.92164,2.62
497,-159.50156_21.92112,2.62
498,-159.49691_21.93165,2.87
499,-159.50698_21.92751,2.87
500,-159.50793_21.92703,2.87
501,-159.50556_21.91715,2.87
502,-159.50560_21.91679,2.87
503,-159.47000_21.87993,2.62
504,-159.46624_21.89732,2.62
505,-159.46612_21.89661,2.62
506,-159.50152_21.91483,2.62
507,-159.50148_21.91504,2.62
508,-159.50136_21.91533,2.62
509,-159.49995_21.91783,2.62
510,-159.49849_21.91381,2.62
511,-159.47888_21.96240,2.87
512,-159.47865_21.91507,2.62
513,-159.48448_21.91995,2.62
514,-159.48260_21.91726,2.62
515,-159.39818_21.96230,3.23
516,-159.33686_22.05424,2.6
517,-159.32935_22.09395,2.96
518,-159.33028_22.09460,2.96
519,-159.32499_22.09766,2.96
520,-159.32517_22.09772,2.96
521,-159.48454_21.92602,2.62
522,-159.48351_21.93145,2.62
523,-159.46353_21.90660,2.71
524,-159.46052_21.91023,2.71
525,-159.46199_21.90547,2.71
526,-159.45824_21.90330,2.71
527,-159.45952_21.90472,2.71
528,-159.46256_21.88678,2.71
529,-159.46105_21.88766,2.71
530,-159.35994_21.96407,2.67
531,-159.39407_21.96664,3.23
532,-159.39064_21.96458,3.23
533,-159.39308_21.96413,3.23
534,-159.39249_21.96460,3.23
535,-159.39173_21.96560,3.23
536,-159.39770_21.96474,3.23
537,-159.40018_21.96417,3.23
538,-159.39835_21.96388,3.23
539,-159.39800_21.96346,3.23
540,-159.39861_21.96462,3.23
541,-159.39829_21.96493,3.23
542,-159.52644_21.91996,2.87
543,-159.52873_21.92124,2.87
544,-159.52938_21.92022,2.87
545,-159.51756_21.90351,2.87
546,-159.51673_21.90609,2.87
547,-159.51922_21.90768,2.87
548,-159.51525_21.90795,2.87
549,-159.51888_21.91431,2.87
550,-159.52361_21.91503,2.87
551,-159.52301_21.91643,2.87
552,-159.51771_21.90612,2.87
553,-159.51794_21.91186,2.87
554,-159.51861_21.91040,2.87
555,-159.51723_21.91015,2.87
556,-159.51648_21.91074,2.87
557,-159.51820_21.91356,2.87
558,-159.46212_21.89010,2.71
559,-159.46221_21.88938,2.71
560,-159.36294_21.95976,2.67
561,-159.36173_21.96552,2.67
562,-159.39242_21.96706,3.23
563,-159.39266_21.96692,3.23
564,-159.39309_21.96618,3.23
565,-159.39375_21.96633,3.23
566,-159.39280_21.96496,3.23
567,-159.39148_21.96569,3.23
568,-159.39642_21.96222,3.23
569,-159.39793_21.96266,3.23
570,-159.34789_21.95835,2.67
571,-159.36589_21.96893,2.67
572,-159.36942_21.97146,2.67
573,-159.36856_21.97005,2.67
574,-159.38276_22.05533,2.67
575,-159.38446_22.05494,2.67
576,-159.38390_22.05554,2.67
577,-159.38328_22.05602,2.67
578,-159.36963_22.05589,2.6
579,-159.36974_22.05605,2.6
580,-159.36800_22.05381,2.6
581,-159.36656_22.05229,2.6
582,-159.39200_22.06362,2.67
583,-159.39409_22.06417,2.67
584,-159.36981_22.05168,2.6
585,-159.37133_22.05195,2.6
586,-159.38253_22.05678,2.67
587,-159.38318_22.05747,2.67
588,-159.38018_22.06055,2.67
589,-159.38189_22.05964,2.67
590,-159.31778_22.09234,2.96
591,-159.31893_22.09070,2.96
592,-159.32256_22.09503,2.96
593,-159.32705_22.09646,2.96
594,-159.32449_22.09652,2.96
595,-159.32348_22.09692,2.96
596,-159.34561_22.10064,2.96
597,-159.34505_22.10088,2.96
598,-159.31636_22.09394,2.96
599,-159.31663_22.09241,2.96
600,-159.31946_22.09375,2.96
601,-159.31539_22.08435,2.96
602,-159.33991_22.10113,2.96
603,-159.35617_22.09831,3.0
604,-159.32741_22.08296,2.96
605,-159.33347_22.10155,2.96
606,-159.71158_21.96712,2.92
607,-159.71142_21.96702,2.92
608,-159.67518_22.10909,2.92
609,-159.64594_22.13092,2.92
610,-159.64517_22.13083,2.92
611,-159.64728_22.12980,2.92
612,-159.66082_22.12941,2.92
613,-159.65768_21.97917,2.92
614,-159.45989_21.90401,2.71
615,-159.45898_21.90343,2.71
616,-159.36152_21.96452,2.67
617,-159.36286_21.96547,2.67
618,-159.38744_21.94769,3.23
619,-159.37133_22.05750,2.67
620,-159.49573_22.20278,2.59
621,-159.57541_21.91409,2.87
622,-159.48310_21.92747,2.62
623,-159.48202_21.92789,2.62
624,-159.48456_21.92101,2.62
625,-159.48332_21.93439,2.62
626,-159.46485_21.89580,2.71
627,-159.46443_21.90029,2.71
628,-159.46424_21.90065,2.71
629,-159.37455_22.10265,3.0
630,-159.49987_22.20216,2.59
631,-159.53322_21.92503,2.87
632,-159.53160_21.92529,2.87
633,-159.53156_21.92443,2.87
634,-159.53512_21.92338,2.87
635,-159.50011_21.92326,2.87
636,-159.50075_21.91888,2.62
637,-159.50113_21.91916,2.62
638,-159.46026_21.89843,2.71
639,-159.46588_21.90233,2.71
640,-159.46500_21.90140,2.71
641,-159.44512_21.87279,2.71
642,-159.46027_21.90715,2.71
643,-159.46169_21.90653,2.71
644,-159.45949_21.90662,2.71
645,-159.46022_21.90604,2.71
646,-159.46026_21.90639,2.71
647,-159.46012_21.90674,2.71
648,-159.36942_22.05554,2.6
649,-159.36632_22.05243,2.6
650,-159.36670_22.05271,2.6
651,-159.39292_22.06166,2.67
652,-159.39408_22.06240,2.67
653,-159.39385_22.06442,2.67
654,-159.38154_22.05980,2.67
655,-159.38436_22.05781,2.67
656,-159.31832_22.06445,2.96
657,-159.38134_22.07800,2.67
658,-159.35714_22.08599,2.67
659,-159.36917_22.07545,2.67
660,-159.34791_21.95821,2.67
661,-159.37389_21.97079,2.67
662,-159.36867_21.97128,2.67
663,-159.37207_21.96657,2.67
664,-159.37139_21.96740,2.67
665,-159.33657_22.05468,2.6
666,-159.33743_22.05511,2.6
667,-159.33537_22.05574,2.6
668,-159.34085_22.05445,2.6
669,-159.33900_22.05603,2.6
670,-159.34735_22.05667,2.6
671,-159.34915_22.05873,2.6
672,-159.34083_22.05893,2.6
673,-159.34010_22.05954,2.6
674,-159.34268_22.05918,2.6
675,-159.34493_22.05949,2.6
676,-159.34476_22.05592,2.6
677,-159.34601_22.05557,2.6
678,-159.34593_22.05584,2.6
679,-159.34603_22.05751,2.6
680,-159.34148_22.05750,2.6
681,-159.34253_22.05743,2.6
682,-159.34267_22.05405,2.6
683,-159.37341_22.05244,2.6
684,-159.37670_22.05622,2.67
685,-159.37649_22.05837,2.67
686,-159.37460_22.06057,2.67
687,-159.39405_22.05852,2.67
688,-159.36624_22.04887,2.6
689,-159.38296_22.05582,2.67
690,-159.38478_22.05411,2.67
691,-159.36619_22.05963,2.67
692,-159.46122_21.89193,2.71
693,-159.72349_21.97307,2.92
694,-159.72387_21.97312,2.92
695,-159.72275_21.97459,2.92
696,-159.72241_21.97504,2.92
697,-159.72388_21.97524,2.92
698,-159.72371_21.97533,2.92
699,-159.72314_21.97544,2.92
700,-159.72224_21.97531,2.92
701,-159.72190_21.97585,2.92
702,-159.72264_21.97302,2.92
703,-159.72126_21.97420,2.92
704,-159.72241_21.97375,2.92
705,-159.66342_21.96440,2.92
706,-159.72607_21.97178,2.92
707,-159.72084_21.97195,2.92
708,-159.72028_21.97087,2.92
709,-159.72163_21.97306,2.92
710,-159.71689_21.97269,2.92
711,-159.69943_21.96192,2.92
712,-159.70450_21.96594,2.92
713,-159.71005_21.96543,2.92
714,-159.70797_21.96440,2.92
715,-159.70826_21.96558,2.92
716,-159.70756_21.96544,2.92
717,-159.71002_21.96618,2.92
718,-159.71030_21.96592,2.92
719,-159.71535_21.96893,2.92
720,-159.71396_21.96804,2.92
721,-159.70278_21.96214,2.92
722,-159.70562_21.96335,2.92
723,-159.71278_21.96749,2.92
724,-159.67944_22.10005,2.92
725,-159.66088_22.12004,2.92
726,-159.66299_22.12399,2.92
727,-159.64767_22.12911,2.92
728,-159.65310_22.13081,2.92
729,-159.36048_21.96341,2.67
730,-159.36102_21.96296,2.67
731,-159.38704_21.94792,3.23
732,-159.58519_21.91358,3.13
733,-159.38136_22.05622,2.67
734,-159.49735_22.20595,2.59
735,-159.36839_21.97299,2.67
736,-159.58860_21.92147,3.13
737,-159.37278_22.07677,2.67
738,-159.35605_22.08612,2.67
739,-159.52160_21.92781,2.87
740,-159.34464_22.06160,2.6
741,-159.37598_22.05291,2.67
742,-159.37778_22.05488,2.67
743,-159.37526_22.05399,2.67
744,-159.37650_22.05459,2.67
745,-159.37696_22.05473,2.67
746,-159.38897_22.06074,2.67
747,-159.38768_22.06009,2.67
748,-159.66076_21.96185,2.92
749,-159.63768_21.94436,3.13
750,-159.58845_21.92048,3.13
751,-159.58865_21.92045,3.13
752,-159.58644_21.92071,3.13
753,-159.58833_21.92182,3.13
754,-159.58805_21.92262,3.13
755,-159.58746_21.92344,3.13
756,-159.58838_21.92367,3.13
757,-159.58559_21.92267,3.13
758,-159.38369_22.05617,2.67
759,-159.38400_22.05615,2.67
760,-159.36674_22.05410,2.6
761,-159.36690_22.05327,2.6
762,-159.38713_22.05770,2.67
763,-159.38750_22.05795,2.67
764,-159.39477_22.06516,2.67
765,-159.37032_22.05185,2.6
766,-159.37062_22.05231,2.6
767,-159.36965_22.05107,2.6
768,-159.38288_22.05664,2.67
769,-159.38336_22.05700,2.67
770,-159.37983_22.06247,2.67
771,-159.36038_22.07050,2.6
772,-159.36167_22.06975,2.6
773,-159.37197_22.07497,2.67
774,-159.36293_22.07150,2.67
775,-159.36304_22.06606,2.6
776,-159.36183_22.06788,2.6
777,-159.37362_22.09859,3.0
778,-159.37234_22.09701,3.0
779,-159.37365_22.09224,3.0
780,-159.31729_22.06890,2.96
781,-159.31788_22.06836,2.96
782,-159.31818_22.06969,2.96
783,-159.31867_22.06832,2.96
784,-159.31870_22.06812,2.96
785,-159.32096_22.07372,2.96
786,-159.32022_22.07372,2.96
787,-159.32264_22.08691,2.96
788,-159.32925_22.09590,2.96
789,-159.33119_22.09582,2.96
790,-159.31548_22.08934,2.96
791,-159.31609_22.08885,2.96
792,-159.31726_22.08820,2.96
793,-159.31752_22.08352,2.96
794,-159.31769_22.08473,2.96
795,-159.31785_22.08505,2.96
796,-159.31786_22.08611,2.96
797,-159.31769_22.08494,2.96
798,-159.31884_22.08542,2.96
799,-159.32023_22.08865,2.96
800,-159.32152_22.08817,2.96
801,-159.31987_22.09025,2.96
802,-159.31952_22.09010,2.96
803,-159.31790_22.09240,2.96
804,-159.32351_22.09641,2.96
805,-159.32409_22.09522,2.96
806,-159.32623_22.09620,2.96
807,-159.33121_22.09843,2.96
808,-159.32463_22.09703,2.96
809,-159.34461_22.10086,2.96
810,-159.31671_22.09296,2.96
811,-159.31575_22.09382,2.96
812,-159.32526_22.08133,2.96
813,-159.35741_22.09751,3.0
814,-159.35512_22.09948,3.0
815,-159.33108_22.08632,2.96
816,-159.32952_22.08624,2.96
817,-159.33572_22.10214,2.96
818,-159.33443_22.10041,2.96
819,-159.33518_22.09981,2.96
820,-159.33487_22.10171,2.96
821,-159.33495_22.10153,2.96
