,Uid,PepPerHos
0,-158.15014_21.44250,4.16
1,-158.15008_21.44229,4.16
2,-158.15032_21.44260,4.16
3,-158.15052_21.44248,4.16
4,-158.15052_21.44230,4.16
5,-158.15099_21.44218,4.16
6,-158.15117_21.44210,4.16
7,-158.15192_21.44198,4.16
8,-158.15221_21.44195,4.16
9,-158.15277_21.44221,4.16
10,-158.15294_21.44229,4.16
11,-158.15310_21.44222,4.16
12,-158.15326_21.44208,4.16
13,-158.15327_21.44234,4.16
14,-158.15346_21.44234,4.16
15,-158.15355_21.44217,4.16
16,-158.15348_21.44201,4.16
17,-158.15115_21.44198,4.16
18,-158.15094_21.44202,4.16
19,-158.15215_21.44184,4.16
20,-158.15186_21.44188,4.16
21,-158.15537_21.44078,4.16
22,-158.15480_21.43997,4.16
23,-158.15531_21.43992,4.16
24,-158.15568_21.44028,4.16
25,-158.15624_21.43977,4.16
26,-158.15610_21.43965,4.16
27,-158.15678_21.43956,4.16
28,-158.15670_21.43985,4.16
29,-158.15694_21.44012,4.16
30,-158.15670_21.44009,4.16
31,-158.15665_21.44032,4.16
32,-159.72365_21.97341,2.92
33,-159.72405_21.97366,2.92
34,-159.72424_21.97398,2.92
35,-159.72294_21.97592,2.92
36,-159.72179_21.97352,2.92
37,-159.72223_21.97407,2.92
38,-159.66391_21.96353,2.92
39,-159.69724_21.96193,2.92
40,-159.72198_21.97147,2.92
41,-159.67200_21.96375,2.92
42,-159.72064_21.96993,2.92
43,-159.72023_21.97163,2.92
44,-159.71762_21.97403,2.92
45,-159.72078_21.97293,2.92
46,-159.71814_21.97122,2.92
47,-159.72011_21.97304,2.92
48,-159.71886_21.97352,2.92
49,-159.71560_21.96853,2.92
50,-159.70858_21.96273,2.92
51,-159.70275_21.96432,2.92
52,-159.70350_21.96543,2.92
53,-159.70479_21.96613,2.92
54,-159.70975_21.96523,2.92
55,-159.70710_21.96424,2.92
56,-159.70961_21.96591,2.92
57,-159.71316_21.96750,2.92
58,-159.71290_21.97114,2.92
59,-159.70435_21.96105,2.92
60,-159.70381_21.96284,2.92
61,-159.70535_21.96318,2.92
62,-159.70661_21.96261,2.92
63,-159.70494_21.96378,2.92
64,-159.71137_21.96656,2.92
65,-159.66144_22.11946,2.92
66,-159.65420_22.12964,2.92
67,-159.45977_21.90457,2.71
68,-159.36000_21.96334,2.67
69,-159.36176_21.96581,2.67
70,-159.37219_22.05729,2.67
71,-159.36946_22.05793,2.67
72,-159.38467_22.05333,2.67
73,-159.38407_22.05409,2.67
74,-159.38316_22.05448,2.67
75,-159.49511_22.21023,2.59
76,-159.49588_22.20505,2.59
77,-159.58774_21.92027,3.13
78,-159.58748_21.92049,3.13
79,-159.58844_21.92623,3.13
80,-159.58862_21.92508,3.13
81,-159.39097_22.21195,2.55
82,-159.50072_22.20278,2.59
83,-159.36808_22.08363,2.67
84,-159.36346_22.07411,2.67
85,-159.34431_22.06002,2.6
86,-159.37350_22.05443,2.67
87,-159.37729_22.05450,2.67
88,-159.38927_22.06084,2.67
89,-159.65988_21.96372,2.92
90,-159.66848_21.95420,2.92
91,-159.58776_21.91989,3.13
92,-159.58579_21.91928,3.13
93,-159.58606_21.92096,3.13
94,-159.58791_21.92200,3.13
95,-159.58669_21.92353,3.13
96,-159.58617_21.92327,3.13
97,-159.58758_21.92496,3.13
98,-159.58958_21.92102,3.13
99,-159.59720_21.90418,3.13
100,-159.48529_21.92467,2.62
101,-159.46462_21.92893,2.71
102,-159.52488_21.90488,2.87
103,-159.36804_22.05262,2.6
104,-159.36719_22.05222,2.6
105,-159.37190_22.05489,2.6
106,-159.50775_21.93643,2.87
107,-159.50844_21.93401,2.87
108,-159.50880_21.92786,2.87
109,-159.50859_21.92861,2.87
110,-159.45177_21.87975,2.71
111,-159.45177_21.87992,2.71
112,-159.45177_21.88185,2.71
113,-159.38512_22.05583,2.67
114,-159.51845_21.92063,2.87
115,-159.51925_21.92001,2.87
116,-159.52047_21.91920,2.87
117,-159.52030_21.91874,2.87
118,-159.51776_21.91929,2.87
119,-159.51954_21.91858,2.87
120,-159.51164_21.93200,2.87
121,-159.51151_21.92590,2.87
122,-159.51273_21.93431,2.87
123,-159.51511_21.90538,2.87
124,-159.51499_21.91045,2.87
125,-159.50299_21.89127,2.87
126,-159.49600_21.91675,2.62
127,-159.36710_21.94991,3.23
128,-159.36468_21.94992,3.23
129,-159.36119_22.06893,2.6
130,-159.35793_22.07420,2.6
131,-159.37643_22.06850,2.67
132,-159.50424_22.20029,2.59
133,-159.52480_21.92646,2.87
134,-159.36098_22.09525,2.67
135,-159.40721_22.20951,2.55
136,-159.40493_22.20951,2.55
137,-159.59202_21.90737,3.13
138,-159.57640_21.91292,2.87
139,-159.57636_21.91240,2.87
140,-159.48383_21.92892,2.62
141,-159.48387_21.93322,2.62
142,-159.48746_21.92794,2.62
143,-159.46495_21.90098,2.71
144,-159.46569_21.89698,2.71
145,-159.36893_22.05846,2.67
146,-159.37505_22.06224,2.67
147,-159.37857_22.10330,3.0
148,-159.37211_22.10006,3.0
149,-159.35870_22.09503,2.67
150,-159.53453_21.92483,2.87
151,-159.53184_21.92483,2.87
152,-159.53294_21.92468,2.87
153,-159.53312_21.92452,2.87
154,-159.53359_21.92372,2.87
155,-159.50135_21.91961,2.62
156,-159.37047_21.97158,2.67
157,-159.33046_22.09841,2.96
158,-159.32899_22.09849,2.96
159,-159.33000_22.09719,2.96
160,-159.32940_22.09696,2.96
161,-159.49760_22.20521,2.59
162,-159.36957_21.96902,2.67
163,-159.37298_21.96909,2.67
164,-159.37423_21.96848,2.67
165,-159.37394_22.07696,2.67
166,-159.53528_21.92314,2.87
167,-159.53577_21.92187,2.87
168,-159.51631_21.92111,2.87
169,-159.52282_21.92123,2.87
170,-159.52370_21.92231,2.87
171,-159.52535_21.92233,2.87
172,-159.51468_21.90881,2.87
173,-159.52080_21.91824,2.87
174,-159.52042_21.91991,2.87
175,-159.51742_21.94186,2.87
176,-159.52450_21.93290,2.87
177,-159.52142_21.93109,2.87
178,-159.51795_21.93557,2.87
179,-159.51922_21.93679,2.87
180,-159.51953_21.93076,2.87
181,-159.52418_21.93075,2.87
182,-159.52635_21.93485,2.87
183,-159.52963_21.92778,2.87
184,-159.52883_21.92869,2.87
185,-159.52926_21.92623,2.87
186,-159.52319_21.92624,2.87
187,-159.52307_21.92603,2.87
188,-159.50036_21.92168,2.62
189,-159.49476_21.92207,2.62
190,-159.49520_21.92704,2.87
191,-159.49985_21.92335,2.87
192,-159.50734_21.92960,2.87
193,-159.50673_21.92727,2.87
194,-159.50772_21.92676,2.87
195,-159.50636_21.92970,2.87
196,-159.49910_21.92012,2.62
197,-159.47076_21.87967,2.62
198,-159.49802_21.91770,2.62
199,-159.50074_21.91520,2.62
200,-159.46883_21.90542,2.62
201,-159.47923_21.90767,2.62
202,-159.48030_21.91804,2.62
203,-159.48569_21.92118,2.62
204,-159.48485_21.92063,2.62
205,-159.39778_21.96219,3.23
206,-159.33523_22.05256,2.6
207,-159.33678_22.05396,2.6
208,-159.33479_22.05301,2.6
209,-159.33038_22.09477,2.96
210,-159.33033_22.09495,2.96
211,-159.32516_22.09537,2.96
212,-159.48302_21.93034,2.62
213,-159.46351_21.90626,2.71
214,-159.46051_21.90991,2.71
215,-159.46010_21.90947,2.71
216,-159.46311_21.89798,2.71
217,-159.46700_21.90195,2.62
218,-159.45078_21.88083,2.71
219,-159.46052_21.90751,2.71
220,-159.45967_21.90550,2.71
221,-159.45789_21.90466,2.71
222,-159.45797_21.90250,2.71
223,-159.37173_21.96630,2.67
224,-159.37083_21.96743,2.67
225,-159.36997_21.96570,2.67
226,-159.33765_22.04776,2.6
227,-159.33595_22.05378,2.6
228,-159.33662_22.05546,2.6
229,-159.33779_22.05717,2.6
230,-159.33871_22.05588,2.6
231,-159.33703_22.05725,2.6
232,-159.33925_22.05708,2.6
233,-159.34019_22.05863,2.6
234,-159.34410_22.05816,2.6
235,-159.34401_22.05846,2.6
236,-159.34498_22.05860,2.6
237,-159.34451_22.05947,2.6
238,-159.34200_22.05649,2.6
239,-159.34218_22.05805,2.6
240,-159.34179_22.05778,2.6
241,-159.34211_22.05439,2.6
242,-159.34261_22.05332,2.6
243,-159.34472_22.05401,2.6
244,-159.34554_22.05395,2.6
245,-159.34631_22.05431,2.6
246,-159.34559_22.05489,2.6
247,-159.37237_22.05323,2.6
248,-159.37658_22.05647,2.67
249,-159.37595_22.05653,2.67
250,-159.36311_22.04779,2.6
251,-159.36611_22.04912,2.6
252,-159.38219_22.05554,2.67
253,-159.38786_22.05697,2.67
254,-159.37812_22.06226,2.67
255,-159.36393_22.08856,2.67
256,-159.36191_22.06867,2.6
257,-159.37382_22.06840,2.67
258,-159.36248_22.07141,2.67
259,-159.36313_22.07064,2.67
260,-159.36211_22.06667,2.6
261,-159.37278_22.09805,3.0
262,-159.37169_22.09644,3.0
263,-159.31743_22.06838,2.96
264,-159.31870_22.06885,2.96
265,-159.31914_22.06883,2.96
266,-159.32037_22.07372,2.96
267,-159.32021_22.08645,2.96
268,-159.32028_22.08603,2.96
269,-159.32403_22.08845,2.96
270,-159.36064_22.09479,2.67
271,-159.33077_22.09798,2.96
272,-159.33934_22.09951,2.96
273,-159.32996_22.09665,2.96
274,-159.32820_22.09546,2.96
275,-159.33044_22.09558,2.96
276,-159.31760_22.08845,2.96
277,-159.31499_22.08728,2.96
278,-159.31550_22.09116,2.96
279,-159.31540_22.08846,2.96
280,-159.31931_22.08548,2.96
281,-159.31787_22.08639,2.96
282,-159.32072_22.08944,2.96
283,-159.33379_22.10044,2.96
284,-159.33618_22.10108,2.96
285,-159.33579_22.10099,2.96
286,-159.32215_22.09409,2.96
287,-159.32212_22.09229,2.96
288,-159.32226_22.09163,2.96
289,-159.32009_22.09172,2.96
290,-159.31976_22.09249,2.96
291,-159.31950_22.09297,2.96
292,-159.31944_22.09319,2.96
293,-159.33510_22.09714,2.96
294,-159.33200_22.09586,2.96
295,-159.33314_22.09444,2.96
296,-159.33351_22.09532,2.96
297,-159.33458_22.09644,2.96
298,-159.33320_22.09940,2.96
299,-159.33305_22.09878,2.96
300,-159.32700_22.09494,2.96
301,-159.32618_22.09388,2.96
302,-159.32634_22.09424,2.96
303,-159.32558_22.09240,2.96
304,-159.30698_22.10520,3.0
305,-159.30537_22.10228,3.0
306,-159.30841_22.14604,3.0
307,-159.30468_22.14584,3.0
308,-159.30687_22.15147,3.0
309,-159.30904_22.13688,3.0
310,-159.30390_22.13658,3.0
311,-159.30256_22.13767,3.0
312,-159.30237_22.13805,3.0
313,-159.30476_22.13791,3.0
314,-159.30315_22.14084,3.0
315,-159.30141_22.14017,3.0
316,-159.30121_22.14034,3.0
317,-159.31679_22.15800,3.0
318,-159.34168_22.18827,3.0
319,-159.33321_22.19253,3.0
320,-159.37847_22.19782,2.55
321,-159.35821_22.19956,2.55
322,-159.39419_22.21981,2.55
323,-159.40835_22.20940,2.55
324,-159.41017_22.20639,2.55
325,-159.40911_22.21017,2.55
326,-159.40489_22.21235,2.55
327,-159.40516_22.21096,2.55
328,-159.40911_22.20396,2.55
329,-159.40404_22.21011,2.55
330,-159.40400_22.20969,2.55
331,-159.40537_22.20894,2.55
332,-159.40469_22.20777,2.55
333,-159.40855_22.20770,2.55
334,-159.40888_22.20724,2.55
335,-159.40599_22.20675,2.55
336,-159.50530_22.20095,2.59
337,-159.57488_22.22320,2.59
