,Uid,WT_elev_m
0,-155.05950_19.72690,1.73876059055
1,-155.05937_19.72697,1.73876059055
2,-155.05924_19.72703,1.73876059055
3,-155.05911_19.72709,1.73876059055
4,-155.05898_19.72716,1.73876059055
5,-155.05859_19.72735,1.73876059055
6,-155.05844_19.72743,1.73876059055
7,-155.05831_19.72749,1.73876059055
8,-155.05818_19.72755,1.73876059055
9,-155.05805_19.72762,1.73876059055
10,-155.05792_19.72768,1.73876059055
11,-155.05779_19.72774,1.83762454987
12,-155.05766_19.72781,1.83762454987
13,-155.05748_19.72790,1.83762454987
14,-155.05410_19.72360,2.9169116020200003
15,-155.05409_19.72383,2.9169116020200003
16,-155.04278_19.73419,1.3578181266800002
17,-155.04246_19.73480,0.46804636716799997
18,-155.04154_19.73612,0.46804636716799997
19,-155.04170_19.73680,0.46804636716799997
20,-155.04131_19.73521,0.46804636716799997
21,-155.03809_19.73676,0.66922134161
22,-155.03796_19.73641,0.66922134161
23,-155.03814_19.73643,0.66922134161
24,-155.04160_19.73489,0.46804636716799997
25,-155.04190_19.73619,0.46804636716799997
26,-155.04228_19.73595,0.46804636716799997
27,-155.04173_19.73396,1.3578181266800002
28,-155.04163_19.73435,1.3578181266800002
29,-155.04164_19.73521,0.46804636716799997
30,-155.04188_19.73650,0.46804636716799997
31,-155.04217_19.73414,1.3578181266800002
32,-155.03289_19.73561,0.7923189997669999
33,-155.02239_19.73061,1.35997521877
34,-155.02418_19.73122,1.35997521877
35,-155.02391_19.73114,1.35997521877
36,-155.02363_19.73106,1.35997521877
37,-155.02335_19.73098,1.35997521877
38,-155.02307_19.73089,1.35997521877
39,-155.02279_19.73081,1.35997521877
40,-155.01560_19.73266,1.23632109165
41,-155.01845_19.73152,1.23632109165
42,-155.01869_19.73143,1.23632109165
43,-155.01894_19.73133,1.23632109165
44,-155.01968_19.73103,1.23632109165
45,-155.01450_19.73309,1.25519907475
46,-155.01421_19.73316,1.25519907475
47,-155.01175_19.73395,1.25519907475
48,-155.01471_19.73284,1.25519907475
49,-155.01394_19.73327,1.25519907475
50,-155.04643_19.72782,2.11927580833
51,-155.04674_19.72768,2.11927580833
52,-155.04846_19.72688,1.7147343158700001
53,-155.04924_19.72652,1.7147343158700001
54,-155.04963_19.72632,1.7147343158700001
55,-155.04483_19.72944,2.11927580833
56,-155.04561_19.72906,2.11927580833
57,-155.04587_19.72893,2.11927580833
58,-155.04854_19.72766,1.7147343158700001
59,-155.05023_19.72686,1.7147343158700001
60,-155.03967_19.73117,1.3578181266800002
61,-155.03996_19.73107,1.3578181266800002
62,-155.04244_19.72982,2.4611060619400003
63,-155.04336_19.72948,2.4611060619400003
64,-155.04419_19.72977,2.11927580833
65,-155.03955_19.73210,1.3578181266800002
66,-155.04354_19.72351,3.54628396034
67,-155.04391_19.72393,3.3480241298699998
68,-155.04423_19.72378,3.3480241298699998
69,-155.04411_19.72430,3.3480241298699998
70,-155.04513_19.72401,3.3480241298699998
71,-155.04542_19.72388,3.3480241298699998
72,-155.04614_19.72362,3.3480241298699998
73,-155.04639_19.72357,3.3480241298699998
74,-155.04674_19.72349,3.3480241298699998
75,-155.04487_19.72563,2.11927580833
76,-155.04488_19.72495,3.3480241298699998
