,BlockBk_ID,Final_Prioity_Score,OSDS_count,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
3640,14237,72.69565912340285,24,0.0,Low,3.0
3641,14242,93.66192367578071,34,1.0,High,1.0
3642,14249,61.08788684183705,13,1.0,Low,3.0
3646,14317,73.64242841219446,51,0.0,Medium,2.0
3650,14405,111.23893719472257,62,1.0,High,1.0
3651,14406,111.50934362122544,28,1.0,High,1.0
3656,14469,128.78383275396928,12,0.0,High,1.0
3660,14513,141.48435519725138,11,1.0,High,1.0
3662,14520,89.73961393586667,30,0.9666666666666667,Medium,2.0
3671,14635,105.90524693916934,31,0.0,High,1.0
3674,14652,107.51674352149057,19,1.0,High,1.0
3677,14655,99.65774397205449,13,1.0,High,1.0
3684,14715,60.08410949521683,15,0.0,Low,3.0
3685,14716,75.27905654205611,11,0.0,Medium,2.0
3686,14724,53.68637512025142,12,0.0,Low,3.0
3693,14876,109.15789453492397,24,1.0,High,1.0
3696,14903,139.4324165207806,30,0.0,High,1.0
3697,14904,135.15340876927218,19,0.0,High,1.0
3702,14973,139.85524319659422,18,0.0,High,1.0
3706,15016,86.35399785982203,25,1.0,Medium,2.0
3708,15022,63.03837192965727,20,0.0,Low,3.0
3709,15027,95.21760202860463,21,0.0,High,1.0
3711,15031,78.99050968123382,18,0.0,Medium,2.0
3714,15097,140.53484577737518,11,0.0,High,1.0
3715,15098,151.70100126357366,23,0.0,High,1.0
3716,15100,161.83599849642658,11,0.0,High,1.0
3717,15101,138.13834738082235,42,0.0,High,1.0
3718,15102,147.4741438717472,74,0.0,High,1.0
3724,15177,140.74240597327994,63,1.0,High,1.0
3725,15178,133.60435420005447,19,1.0,High,1.0
3726,15179,131.20317562101303,15,1.0,High,1.0
3730,15229,64.03608704732487,18,1.0,Low,3.0
3733,15244,102.58459730598716,25,0.0,High,1.0
3739,15305,59.94298096080449,17,0.0,Low,3.0
3742,15313,64.2532670319653,50,0.0,Low,3.0
3744,15315,136.91267328331332,19,0.0,High,1.0
3749,15360,69.90007832819205,16,0.0,Low,3.0
3752,15391,115.7894984448058,22,1.0,High,1.0
3754,15421,141.32206873675705,13,0.0,High,1.0
3756,15423,162.84444800545342,22,0.0,High,1.0
3759,15427,110.74837520816705,20,0.0,High,1.0
3760,15428,148.17717606313022,14,0.0,High,1.0
3761,15429,151.75437108722642,41,0.0,High,1.0
3762,15480,87.46006503738522,18,1.0,Medium,2.0
3763,15498,109.71528739665504,16,1.0,High,1.0
3766,15507,83.27803123691464,15,0.0,Medium,2.0
3769,15530,98.5474643794047,21,1.0,High,1.0
3772,15599,111.25509447249752,66,1.0,High,1.0
3779,15647,111.67045650571104,51,1.0,High,1.0
3784,15684,93.63970295085129,33,0.0,High,1.0
3786,15704,87.54617110918954,31,0.0,Medium,2.0
3787,15707,81.57065048808151,18,0.0,Medium,2.0
3791,15767,127.20940959743103,19,1.0,High,1.0
3792,15774,96.93863215022276,11,0.0,High,1.0
3799,15834,66.4854291179451,29,0.0,Low,3.0
3800,15835,117.8400210542061,69,0.0,High,1.0
3801,15836,119.59739389490673,14,0.0,High,1.0
3804,15850,103.16177917496734,49,0.0,High,1.0
3810,15895,120.69578200603067,20,0.0,High,1.0
3814,15899,137.60155647984476,42,0.0,High,1.0
3817,15959,82.09428541650877,28,0.0,Medium,2.0
3820,15966,86.36236891770952,35,0.0,Medium,2.0
3834,16053,118.75852218758237,13,0.0,High,1.0
3838,16183,114.2521231012436,23,0.0,High,1.0
3839,16193,85.74102068846284,26,0.0,Medium,2.0
3850,16253,73.62419405255821,19,1.0,Medium,2.0
3852,16260,72.60803031802844,17,0.0,Low,3.0
3853,16261,69.62129654868555,14,0.0,Low,3.0
3854,16282,67.58170742410745,12,0.0,Low,3.0
3857,16324,99.55625325162585,12,0.0,High,1.0
3858,16366,42.10221591208488,13,0.0,Low,3.0
3861,16382,138.7973875791809,21,1.0,High,1.0
3862,16383,126.71692503215061,18,1.0,High,1.0
3869,16439,101.21084377884512,44,0.0,High,1.0
3870,16442,161.86694830055237,32,0.0,High,1.0
3871,16444,130.14158690046602,12,0.0,High,1.0
3874,16449,129.7575968904467,12,0.0,High,1.0
3882,16527,150.6910502422613,104,1.0,High,1.0
3890,16602,62.887180668707664,18,0.8888888888888888,Low,3.0
3897,16725,102.86692620545445,11,1.0,High,1.0
3898,16726,109.89941952250435,21,1.0,High,1.0
3899,16727,140.53301612804609,33,1.0,High,1.0
3902,16730,132.06268770188552,20,1.0,High,1.0
3909,16796,67.29456387744195,25,0.0,Low,3.0
3921,16927,65.20427552288822,19,0.0,Low,3.0
3922,16935,63.89067572481837,14,0.0,Low,3.0
3923,16937,134.97511319076008,14,1.0,High,1.0
3930,17058,75.15369030108258,11,0.0,Medium,2.0
3932,17062,109.34219494901342,20,1.0,High,1.0
3933,17085,93.77507854244405,38,0.0,High,1.0
3937,17130,79.8958615483908,30,1.0,Medium,2.0
3939,17193,58.54729137686497,52,1.0,Low,3.0
3940,17195,61.75629755090703,52,0.0,Low,3.0
3942,17198,83.5693372947715,55,0.01818181818181818,Medium,2.0
3947,17207,60.31002613467855,14,1.0,Low,3.0
3948,17208,54.97924186802163,28,1.0,Low,3.0
3949,17209,71.56719524121668,26,0.0,Low,3.0
3950,17211,68.16912538801074,29,0.0,Low,3.0
3952,17214,51.20638492960449,115,1.0,Low,3.0
