,BlockBk_ID,Final_Prioity_Score,OSDS_count,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
4555,19502,68.94987145017195,16,0.0,Low,3.0
4556,19516,76.32306028868742,11,0.0,Medium,2.0
4558,19529,95.2459222544725,32,1.0,High,1.0
4559,19530,105.23858305053959,28,1.0,High,1.0
4560,19533,101.89109536359048,64,1.0,High,1.0
4562,19557,97.10156141393368,19,1.0,High,1.0
4564,19560,129.78217488596144,15,0.0,High,1.0
4566,19564,60.162249918149094,33,1.0,Low,3.0
4568,19566,75.97030148937655,15,1.0,Medium,2.0
4569,19567,70.55785420885512,25,1.0,Low,3.0
4570,19569,89.82497216780591,12,1.0,Medium,2.0
4572,19571,92.3520668803678,22,1.0,Medium,2.0
4575,19574,85.37579410523885,21,1.0,Medium,2.0
4580,19590,93.20612528516357,24,1.0,High,1.0
