Name_ID,BlockGp_ID,Final_Prioity_Score,OSDS_count,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
Oahu: : BkGp#9: CPs=392,9,111.54490708075949,392,1.0,High,1.0
Oahu: : BkGp#11: CPs=33,11,116.20836673960038,33,1.0,High,1.0
Oahu: : BkGp#13: CPs=39,13,90.51243703277653,39,0.717948717948718,Medium,2.0
Oahu: : BkGp#27: CPs=47,27,97.27559856790964,47,0.0,Medium,2.0
BI: : BkGp#42: CPs=66,42,103.86747667911487,66,1.0,Medium,2.0
BI: : BkGp#43: CPs=453,43,96.79593098087446,453,1.0,Medium,2.0
BI: : BkGp#45: CPs=202,45,72.30301521546225,202,1.0,Low,3.0
BI: : BkGp#46: CPs=133,46,117.87767371342495,133,1.0,High,1.0
BI: : BkGp#47: CPs=297,47,66.17596535551061,297,0.37373737373737376,Low,3.0
Oahu: : BkGp#66: CPs=120,66,96.11012269139518,120,1.0,Medium,2.0
Oahu: : BkGp#69: CPs=31,69,100.4320929569134,31,1.0,Medium,2.0
Oahu: : BkGp#70: CPs=74,70,102.96678530031187,74,0.0,Medium,2.0
Oahu: : BkGp#71: CPs=138,71,97.05496503842554,138,0.0,Medium,2.0
Oahu: : BkGp#78: CPs=51,78,75.05384965373271,51,1.0,Low,3.0
Oahu: : BkGp#79: CPs=47,79,69.600052714648,47,1.0,Low,3.0
Oahu: : BkGp#84: CPs=142,84,100.85371786063173,142,0.0,Medium,2.0
BI: : BkGp#90: CPs=454,90,96.70862231729657,454,0.9823788546255506,Medium,2.0
BI: : BkGp#91: CPs=431,91,71.71597727215877,431,1.0,Low,3.0
BI: : BkGp#92: CPs=698,92,77.44900279958195,698,1.0,Low,3.0
BI: : BkGp#93: CPs=373,93,69.05615479329325,373,1.0,Low,3.0
BI: : BkGp#94: CPs=548,94,69.98032091796823,548,1.0,Low,3.0
Oahu: : BkGp#98: CPs=67,98,73.88543812170163,67,0.6567164179104478,Low,3.0
Oahu: : BkGp#111: CPs=98,111,128.72395001952788,98,0.0,High,1.0
Oahu: : BkGp#112: CPs=41,112,68.57112370335722,41,0.0,Low,3.0
BI: : BkGp#140: CPs=687,140,66.44589827121453,687,1.0,Low,3.0
BI: : BkGp#141: CPs=673,141,60.00741349839984,673,0.9554234769687965,Low,3.0
BI: : BkGp#142: CPs=228,142,61.75392382356936,228,1.0,Low,3.0
BI: : BkGp#143: CPs=262,143,77.32558553937086,262,1.0,Low,3.0
BI: : BkGp#144: CPs=665,144,69.52642210658706,665,1.0,Low,3.0
BI: : BkGp#145: CPs=282,145,91.86695571502979,282,0.9397163120567376,Medium,2.0
BI: : BkGp#146: CPs=369,146,82.96483239827205,369,1.0,Medium,2.0
BI: : BkGp#147: CPs=859,147,58.063097813767875,859,0.7532013969732246,Low,3.0
BI: : BkGp#148: CPs=462,148,59.3900832608207,462,0.0,Low,3.0
BI: : BkGp#149: CPs=191,149,81.33800133853626,191,0.0,Low,3.0
Oahu: : BkGp#155: CPs=86,155,76.66278807124678,86,0.0,Low,3.0
Oahu: : BkGp#172: CPs=27,172,110.04089100589218,27,0.0,High,1.0
BI: : BkGp#185: CPs=499,185,58.46373864195225,499,0.0,Low,3.0
BI: : BkGp#186: CPs=178,186,56.31815152073958,178,0.0,Low,3.0
BI: : BkGp#187: CPs=507,187,44.52774613637731,507,0.0,Low,3.0
BI: : BkGp#188: CPs=851,188,30.76365563151327,851,0.245593419506463,Low,3.0
BI: : BkGp#189: CPs=384,189,79.32765795825823,384,0.0,Low,3.0
BI: : BkGp#190: CPs=413,190,56.66948967159829,413,0.0,Low,3.0
BI: : BkGp#191: CPs=566,191,56.05318815962032,566,0.0,Low,3.0
BI: : BkGp#192: CPs=371,192,63.6636940637917,371,0.0,Low,3.0
BI: : BkGp#193: CPs=553,193,82.42996996257551,553,0.325497287522604,Medium,2.0
