,BlockBk_ID,Final_Prioity_Score,OSDS_count,Soil_Suitability_Rank,SLR_Rank,WELLCZ_Rank,dist2_coast_m_Rank,dist2_Strm_Wtlnd_m_Rank,rainfall_in_Rank,dist2_MunWells_m_Rank,dist2_DomWells_m_Rank,Dep_to_Water_m_Rank,OSDS_Density_perAcre_Rank,Swim_beach_Rank,UserDays_Rank,Fish_Rank,Coral_Rank,Wave_pwr_Rank,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
1,3,76.26195468362435,26,57.237142857142835,0.0,0.0,29.57823742850763,41.73208806070508,15.184668021727456,89.03118019541613,68.10120473511381,29.654116808739087,375.26031638622214,0.0,200.0,99.0,0.0,139.15036576079095,1.0,Medium,2.0
4,11,89.780744603714,61,64.42693208430913,8.114754098360656,0.0,54.919062240647996,47.960768844607266,19.169218172547964,35.60690465027998,87.21374079815938,317.0049129894155,389.76739959685966,0.0,200.0,0.0,0.0,122.5274755805221,1.0,Medium,2.0
7,26,81.94030368810331,11,67.09333333333333,0.0,0.0,253.70211971672072,90.32943716135205,19.19816934873705,51.159722359747505,29.263507758953377,69.82299149269842,211.38778117621504,0.0,15.659068384539152,300.0,99.0,22.48842458925316,0.0,Medium,2.0
11,34,118.36880876407895,14,82.12571428571427,0.0,0.0,162.36909937802525,75.69622561354029,78.11615013130823,27.834107019779633,21.841135025275698,163.58163584332428,352.7422603415711,0.0,200.0,198.0,300.0,113.22580382264543,1.0,High,1.0
14,37,78.45588773868782,16,70.11303571428572,0.0,131.25,21.676439605259553,48.03055616109457,57.83533569254171,181.5081316790551,11.545654390109313,15.100595753235503,220.1134281999956,0.0,49.3557978196234,74.25,198.0,98.05934106511702,0.0,Medium,2.0
15,46,116.29714850186554,12,89.32285714285713,0.0,0.0,73.43598944945411,9.105651320389887,64.74523797210584,94.22412030309643,64.4763536030906,40.05804220959286,400.0,0.0,200.0,300.0,300.0,109.08897552739593,1.0,High,1.0
20,65,84.37438064592922,39,57.23714285714282,0.0,53.84615384615385,24.69362762035847,44.496546516257126,17.501260191083922,49.619650234651196,56.521643743203036,54.690875705178165,400.0,0.0,39.29252115575208,99.0,300.0,68.71628781915796,1.0,Medium,2.0
21,66,72.0260425732623,12,57.23714285714286,0.0,75.0,24.478107057797057,48.71361907023751,17.23569434289944,40.414868450322246,45.665148280245376,50.209061483572846,400.0,0.0,24.57879088206144,99.0,125.0,72.85820617465562,1.0,Low,3.0
22,67,48.421312997528226,42,75.14655328798182,0.0,0.0,20.60445185061949,97.11469217864219,15.519174979623783,33.867607209099816,24.394005280382533,35.13064851587838,169.91902800271131,0.0,47.93996885176273,99.0,35.714285714285715,71.9692790919358,1.0,Low,3.0
24,72,69.56528691871398,70,64.25661224489798,0.0,0.0,36.21739104267206,18.918767406100155,18.33349214253145,49.04141408974529,121.48028263186565,104.4011902428195,396.904021802399,0.0,80.39076879512972,62.22857142857143,0.0,91.30679195397741,1.0,Low,3.0
