Name_ID,Track_ID,Final_Prioity_Score,OSDS_count,Soil_Suitability_Rank,SLR_Rank,WELLCZ_Rank,dist2_coast_m_Rank,dist2_Strm_Wtlnd_m_Rank,rainfall_in_Rank,dist2_MunWells_m_Rank,dist2_DomWells_m_Rank,Dep_to_Water_m_Rank,OSDS_Density_perAcre_Rank,Swim_beach_Rank,UserDays_Rank,Fish_Rank,Coral_Rank,Wave_pwr_Rank,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
Oahu: Lualualei-Camp Waianae: T#2: CPs=213,2,93.86879457109681,213,42.38633176838811,27.056338028169016,0.0,75.88664583248729,98.80115351192832,89.99146142033054,70.63055136284406,110.27975425975617,183.95380119409222,202.32907024770944,196.24413145539907,34.01964479310627,97.14084507042253,59.95774647887324,119.35444314294482,0.0,Medium,2.0
Oahu: Lualualei Transmitter: T#3: CPs=88,3,74.53510832912023,88,58.390757575757476,2.25,0.0,75.55330814547331,99.64469166657418,89.45973790051988,16.3807183220885,70.29312978077685,258.906770457273,82.61590311162558,0.0,11.064059825209497,54.0,196.875,102.59254815150524,0.0,Low,3.0
Oahu: Makua Valley: T#5: CPs=98,5,128.72395001952788,98,68.61554907677366,260.2040816326531,0.0,314.88499243985785,34.14741291001573,86.52381472771123,60.93512125300254,169.65397112196916,379.9122189897441,198.14477847234775,0.0,31.59725733702793,96.9795918367347,182.8469387755102,46.413521719570014,0.0,High,1.0
Oahu: Kaena Point: T#6: CPs=847,6,117.26917262397808,847,47.12500309214589,203.81227863046044,19.303423848878396,196.83438256672883,66.79625081685579,74.8205845806797,72.32597485151109,50.206643865746685,364.25842267626615,299.79511932390346,0.0,13.924970425556161,172.75324675324674,87.07792207792208,90.0033658497715,0.7426210153482881,High,1.0
Oahu: Kawailoa: T#7: CPs=209,7,115.2961384762236,209,39.04130097972206,167.66985645933013,0.0,241.989301066993,88.25715845431887,66.14022041679735,40.987706476430546,61.619505005151694,336.8452884967339,168.63474720290665,82.29665071770334,96.79487483462228,134.05263157894737,171.61722488038276,33.49561057331468,0.15789473684210525,High,1.0
Oahu: Nanakuli: T#13: CPs=96,13,97.7840815284999,96,58.43655357142851,138.25,0.0,182.6114168802641,78.69339953955645,83.95328967795122,20.580827360618134,26.139861072818192,286.22345408570555,83.17022324458424,168.75,20.57317476048893,99.0,99.0,121.37902273408258,0.0,Medium,2.0
Oahu: Kunia West: T#14: CPs=54,14,91.28975618363165,54,56.335784832451516,188.55555555555554,8.333333333333334,101.7466669209896,100.37563662884538,96.71913366423952,62.36564901760639,194.57723274783876,339.4004221136348,90.17639735736294,0.0,16.613441985097104,0.0,0.0,114.14708859751983,0.0,Medium,2.0
Oahu: Kalaheo Avenue: T#23: CPs=132,23,116.40365120791307,132,68.53175324675331,300.0,0.0,295.55356408153847,87.8949193578719,64.81987476860014,14.72148582538035,23.721090093474196,400.0,320.86640057946073,0.0,17.47604889329369,97.5,0.0,54.96963127232414,0.0,High,1.0
Oahu: Ewa Gentry: T#26: CPs=94,26,71.31633238034999,94,51.97704660587631,15.797872340425531,0.0,62.76166084879383,22.630003274611035,101.75716993337706,29.786516769381322,57.40797374747972,330.2341408275108,172.42911721894114,0.0,20.19273348375259,0.0,65.29787234042553,139.4728783146752,1.0,Low,3.0
Oahu: Hawaii Prince Golf Course: T#30: CPs=51,30,75.05384965373271,51,57.629859943977536,110.6470588235294,0.0,58.1923054619886,20.817125085368474,101.33791825217989,21.392385221144725,55.92589933018727,363.9210409538347,175.08881221055907,0.0,8.468878135991753,0.0,3.8823529411764706,148.50410844605267,1.0,Low,3.0
